batter,level,report_date,bip_count,pa_count,status,notes
457705,MLB,2026-04-12,38,259,new,NA
467793,MLB,2026-04-12,16,106,new,NA
500743,MLB,2026-04-12,79,336,new,NA
502671,MLB,2026-06-14,208,1211,reported,NA
514888,MLB,2026-05-09,368,1821,reported,NA
516782,MLB,2026-04-12,39,255,new,NA
518692,MLB,2026-05-01,453,2633,reported,NA
519317,MLB,2026-04-12,61,384,new,NA
521692,MLB,2026-05-09,447,2234,reported,NA
542303,MLB,2026-05-15,157,1139,reported,NA
543309,MLB,2026-04-12,89,582,new,NA
543510,MLB,2026-04-12,50,290,new,NA
543760,MLB,2026-05-09,377,1969,reported,NA
543807,MLB,2026-06-02,343,1896,reported,NA
543877,MLB,2026-07-25,117,637,reported,NA
545121,MLB,2026-05-09,375,1569,reported,NA
545361,MLB,2026-05-15,323,2546,reported,NA
547180,MLB,2026-05-09,413,2624,reported,NA
553993,MLB,2026-06-14,253,1935,reported,NA
571448,MLB,2026-05-15,395,2282,reported,NA
571970,MLB,2026-05-15,326,2165,reported,NA
572233,MLB,2026-05-09,407,2366,reported,NA
573262,MLB,2026-06-14,213,1376,reported,NA
575929,MLB,2026-05-25,301,1981,reported,NA
592206,MLB,2026-04-12,65,384,new,NA
592450,MLB,2026-05-15,153,1234,reported,NA
592518,MLB,2026-05-09,437,2571,reported,NA
592626,MLB,2026-06-02,274,1720,reported,NA
592663,MLB,2026-06-14,289,1679,reported,NA
592885,MLB,2026-06-14,298,1994,reported,NA
593428,MLB,2026-05-09,403,2278,reported,NA
593871,MLB,2026-04-12,72,425,new,NA
595879,MLB,2026-08-22,121,538,reported,NA
595978,MLB,2026-04-12,94,514,new,NA
596019,MLB,2026-07-10,299,1839,reported,NA
596103,MLB,2026-04-12,22,135,new,NA
596115,MLB,2026-05-09,150,878,reported,NA
596142,MLB,2026-08-22,110,783,reported,NA
600869,MLB,2026-04-12,10,83,new,NA
602104,MLB,2026-04-12,33,194,new,NA
605137,MLB,2026-05-09,431,2396,reported,NA
605141,MLB,2026-06-14,399,1834,reported,NA
605170,MLB,2026-06-14,210,1188,reported,NA
606192,MLB,2026-05-15,291,1830,reported,NA
606466,MLB,2026-05-09,445,2126,reported,NA
607043,MLB,2026-05-01,432,2482,reported,NA
607208,MLB,2026-05-09,478,2527,reported,NA
608070,MLB,2026-05-01,379,2076,reported,NA
608324,MLB,2026-05-01,504,2742,reported,NA
608348,MLB,2026-06-14,275,1479,reported,NA
608369,MLB,2026-05-15,257,1468,reported,NA
