"","X","last_first_name","BBE","Avg.LA","LA.Std.Dev","Sweet.Spot.","HH.LA","Oppo.FB.","Oppo.FB.EV","High.AA.","season","game_type","handedness","level","oppo_fb_pct_rank","oppo_fb_ev_pct_rank","high_aa_pct_rank","attack_angle_avg_rank","sweet_spot_pct_rank","launch_angle_avg_rank","hard_hit_pct_rank",".groups","poor_loft","loft_cohort","hhla_norm","avg_la_norm","ideal_aa_norm","sweet_spot_norm","angles_score","angles_tier","interaction_cohort","swspt_cohort"
"1",1,"Abrams, CJ",417,15.1,28.9,34.5,15.5,25.6,89.3,0,2024,"R","Overall","MLB",26.1,64.7,0,0,43.1,64.9,72.2,"drop",FALSE,"Non-Poor Loft",0.722,0.649,0,0.431,0.59897,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"2",2,"Abreu, Wilyer",278,19.3,28.7,34.5,16.4,23.2,89.8,0,2024,"R","Overall","MLB",16.5,69.9,0,0,43.1,89.5,79.4,"drop",FALSE,"Non-Poor Loft",0.794,0.895,0,0.431,0.70391,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"3",3,"Acuña Jr., Ronald",139,8.9,26,31.7,11.4,26.7,92.2,0,2024,"R","Overall","MLB",31.8,92,0,0,18.8,14.8,36.8,"drop",FALSE,"Non-Poor Loft",0.368,0.148,0,0.188,0.2342,"Below Average","Excluded from Analysis","Excluded from Analysis"
"4",4,"Adames, Willy",440,20.6,27.4,38.4,23,28.7,90.9,0,2024,"R","Overall","MLB",39.3,82.2,0,0,78.4,94.2,97,"drop",FALSE,"Non-Poor Loft",0.97,0.942,0,0.784,0.89752,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"5",5,"Adell, Jo",282,15.8,31.3,31.2,15.9,36,91.5,0,2024,"R","Overall","MLB",69.4,86.7,0,0,14,69.9,74.2,"drop",FALSE,"Non-Poor Loft",0.742,0.699,0,0.14,0.52313,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"6",6,"Ahmed, Nick",157,13.4,29.6,32.5,14.1,20,86.4,0,2024,"R","Overall","MLB",6.8,28.3,0,0,25.3,49.1,60.4,"drop",FALSE,"Non-Poor Loft",0.604,0.491,0,0.253,0.44737,"Below Average","Excluded from Analysis","Excluded from Analysis"
"7",7,"Albies, Ozzie",338,18.4,28.9,34.9,14.1,24.5,83.8,0,2024,"R","Overall","MLB",21.1,8,0,0,46.6,86.2,60.4,"drop",FALSE,"Non-Poor Loft",0.604,0.862,0,0.466,0.64222,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"8",8,"Alexander, Blaze",116,8.5,31.8,24.1,7.1,46.7,88.5,0,2024,"R","Overall","MLB",95,54.4,0,0,0.5,13,10.3,"drop",FALSE,"Non-Poor Loft",0.103,0.13,0,0.005,0.07859,"Below Average","Excluded from Analysis","Excluded from Analysis"
"9",9,"Alonso, Pete",440,14.4,27.7,31.6,14.4,37.9,92.3,0,2024,"R","Overall","MLB",76.4,93,0,0,17.8,58.1,61.9,"drop",FALSE,"Non-Poor Loft",0.619,0.581,0,0.178,0.45652,"Below Average","Excluded from Analysis","Excluded from Analysis"
"10",10,"Altuve, Jose",496,14.1,26.3,36.5,17.4,23.5,87.6,0,2024,"R","Overall","MLB",18,41.1,0,0,64.2,55.1,85.5,"drop",FALSE,"Non-Poor Loft",0.855,0.551,0,0.642,0.68226,"Good","Non-Poor Loft + Good Angles","Excluded from Analysis"
"11",11,"Alvarez, Francisco",224,6.9,30.4,28.1,6.4,43.5,89.9,0,2024,"R","Overall","MLB",91.7,70.4,0,0,3.3,8.3,8.3,"drop",FALSE,"Non-Poor Loft",0.083,0.083,0,0.033,0.066,"Below Average","Excluded from Analysis","Excluded from Analysis"
"12",12,"Alvarez, Yordan",460,18.3,26.2,37.4,15.2,33.5,89.4,0,2024,"R","Overall","MLB",60.9,65.9,0,0,71.4,86,68.9,"drop",FALSE,"Non-Poor Loft",0.689,0.86,0,0.714,0.75393,"Excellent","Non-Poor Loft + Good Angles","Non-Poor Loft + Good Angles"
"13",13,"Amaya, Miguel",267,11.1,28.4,36,7.5,39.7,88.2,0,2024,"R","Overall","MLB",83.5,48.6,0,0,58.9,30.8,12,"drop",FALSE,"Non-Poor Loft",0.12,0.308,0,0.589,0.3415,"Below Average","Excluded from Analysis","Excluded from Analysis"
"14",14,"Anderson, Tim",166,1.4,23.2,31.9,9.9,52.4,89.7,0,2024,"R","Overall","MLB",98.5,68.4,0,0,20.8,0.5,27.1,"drop",FALSE,"Non-Poor Loft",0.271,0.005,0,0.208,0.1618,"Below Average","Excluded from Analysis","Excluded from Analysis"
"15",15,"Andujar, Miguel",261,9.2,31.8,26.4,2.9,36.2,84.3,0,2024,"R","Overall","MLB",69.9,11,0,0,2,17.8,1.5,"drop",TRUE,"Poor Loft",0.015,0.178,0,0.02,0.07049,"Below Average","Excluded from Analysis","Excluded from Analysis"
