batter,batter_name,prior_year,current_year,prior_poor_loft,prior_loft_cohort,prior_angles_score,prior_angles_tier,prior_interaction_cohort,prior_swspt_cohort,prior_ss_pct,prior_ss_pct_rank,ss_pct_yoy_change,ss_pct_yoy_change_rank,la_avg_yoy_change,oppo_fb_ev_yoy_change,oppo_fb_pct_yoy_change,hhla_yoy_change,ideal_aa_yoy_change,current_ss_pct,current_ss_pct_rank,current_angles_score,current_interaction_cohort,current_swspt_cohort,current_loft_cohort,regressed_ss_5pp,regressed_ss_10pp,improved_ss_5pp,stayed_good_ss,angles_score_yoy_change,regressed_angles_score,improved_angles_score,stayed_good_angles
"Abrams, CJ","Abrams, CJ",2022,2023,FALSE,Non-Poor Loft,0.1287,Below Average,Excluded from Analysis,Excluded from Analysis,28.9,6.6,5.300000000000004,30.199999999999996,6.8,1.2999999999999972,5.899999999999999,4.300000000000001,NA,34.2,36.8,0.46271,Excluded from Analysis,Excluded from Analysis,Non-Poor Loft,0,0,1,0,0.33401000000000003,0,1,0
"Abrams, CJ","Abrams, CJ",2023,2024,FALSE,Non-Poor Loft,0.46271,Below Average,Excluded from Analysis,Excluded from Analysis,34.2,36.8,0.29999999999999716,6.300000000000004,1.5999999999999996,1.7999999999999972,-6.299999999999997,2.5999999999999996,NA,34.5,43.1,0.59897,Non-Poor Loft + Good Angles,Excluded from Analysis,Non-Poor Loft,0,0,0,0,0.13626,0,1,1
"Abrams, CJ","Abrams, CJ",2024,2025,FALSE,Non-Poor Loft,0.59897,Good,Non-Poor Loft + Good Angles,Excluded from Analysis,34.5,43.1,1.5,11.199999999999996,-1.799999999999999,-0.7000000000000028,-1.6000000000000014,-3,NA,36,54.3,0.53725,Non-Poor Loft + Good Angles,Excluded from Analysis,Non-Poor Loft,0,0,0,0,-0.06172,1,0,1
"Abrams, CJ","Abrams, CJ",2025,2026,FALSE,Non-Poor Loft,0.53725,Good,Non-Poor Loft + Good Angles,Excluded from Analysis,36,54.3,-1,-5,2.8999999999999986,-2.799999999999997,4.899999999999999,0.6999999999999993,6.400000000000002,35,49.3,0.6075,Non-Poor Loft + Good Angles,Excluded from Analysis,Non-Poor Loft,0,0,0,0,0.07025000000000003,0,1,1
"Abreu, Wilyer","Abreu, Wilyer",2024,2025,FALSE,Non-Poor Loft,0.70391,Good,Non-Poor Loft + Good Angles,Excluded from Analysis,34.5,43.1,-1.3999999999999986,-20,3.6999999999999993,-3.3999999999999915,4.100000000000001,1.9000000000000021,NA,33.1,23.1,0.7175,Non-Poor Loft + Good Angles,Excluded from Analysis,Non-Poor Loft,0,0,0,0,0.013589999999999991,0,0,1
"Abreu, Wilyer","Abreu, Wilyer",2025,2026,FALSE,Non-Poor Loft,0.7175,Good,Non-Poor Loft + Good Angles,Excluded from Analysis,33.1,23.1,1.7999999999999972,24.799999999999997,-7.300000000000001,3.1999999999999886,2.1999999999999993,-4.200000000000001,-16.000000000000004,34.9,47.9,0.51925,Non-Poor Loft + Good Angles,Excluded from Analysis,Non-Poor Loft,0,0,0,0,-0.19825000000000004,1,0,1
"Acuña Jr., Ronald","Acuña Jr., Ronald",2021,2022,FALSE,Non-Poor Loft,0.87023,Excellent,Non-Poor Loft + Good Angles,Non-Poor Loft + Good Angles,40.1,86,-6.100000000000001,-46.2,-7.399999999999999,-1.7999999999999972,1,-6.799999999999999,NA,34,39.8,0.42473,Excluded from Analysis,Excluded from Analysis,Non-Poor Loft,1,1,0,0,-0.44549999999999995,1,0,0
"Acuña Jr., Ronald","Acuña Jr., Ronald",2022,2023,FALSE,Non-Poor Loft,0.42473,Below Average,Excluded from Analysis,Excluded from Analysis,34,39.8,1.2000000000000028,5.300000000000004,-3.4000000000000004,-1.6000000000000085,3.1000000000000014,-2.299999999999999,NA,35.2,45.1,0.29887,Excluded from Analysis,Excluded from Analysis,Non-Poor Loft,0,0,0,0,-0.12585999999999997,1,0,0
"Acuña Jr., Ronald","Acuña Jr., Ronald",2023,2024,FALSE,Non-Poor Loft,0.29887,Below Average,Excluded from Analysis,Excluded from Analysis,35.2,45.1,-3.5000000000000036,-26.3,1.5,2.6000000000000085,-5.800000000000001,0.5999999999999996,NA,31.7,18.8,0.2342,Excluded from Analysis,Excluded from Analysis,Non-Poor Loft,1,0,0,0,-0.06467000000000003,1,0,0
"Acuña Jr., Ronald","Acuña Jr., Ronald",2024,2025,FALSE,Non-Poor Loft,0.2342,Below Average,Excluded from Analysis,Excluded from Analysis,31.7,18.8,0.5000000000000036,-1.4000000000000021,4.6,2.200000000000003,6.199999999999999,4.5,NA,32.2,17.4,0.56975,Non-Poor Loft + Good Angles,Excluded from Analysis,Non-Poor Loft,0,0,0,0,0.33555,0,1,1
