"","last_first_name","BIP.x","Swing%","Chase%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%","SLGcon","BIP.y","Avg LA","LA Std Dev","Sweet Spot%","HH LA","Oppo FB%","Oppo FB EV","High AA%"
"1","Abrams, CJ",237,50.1,36.6,37.4,21.4,13.8,32,41.4,42.6,0.549,236,11.1,32.6,36.9,10.9,25.8,89.2,27.3
"2","Abreu, Wilyer",200,52.2,34.9,44.4,22.5,15.6,33.3,29.5,48.5,0.695,200,24.1,26.5,32.5,18.8,26.4,86.2,34.3
"3","Adames, Willy",74,41.2,27.6,37.8,26.8,11.6,48.3,27,44.6,0.5,74,26,29.8,28.4,27.3,30.6,93.4,70
"4","Albies, Ozzie",357,53.5,37.1,39.1,22.2,13.4,33.8,35.3,28.9,0.389,357,19.8,29.3,34.7,15.1,24.8,85.1,38.6
"5","Alonso, Pete",82,44.2,31.2,38.3,30.3,22.8,40.2,32.9,51.2,0.646,82,15.2,29.9,45.1,20.6,28.6,93.2,25
"6","Alvarez, Yordan",72,45.4,34.1,40.1,22.4,9.9,36.3,33.3,50,0.333,72,20.4,27.3,38.9,19.3,17.4,92.4,NA
"7","Amador, Adael",79,46.9,33.2,38.5,21.4,10.4,36,40.5,24.1,0.342,73,15.5,28.7,34.2,10.7,38.1,75.2,0
"8","Anthony, Roman",84,37.8,23.2,35.1,25.1,16.7,39.2,48.8,58.3,0.583,84,7.8,25.2,36.9,9.3,47.4,92.7,25
"9","Aranda, Jonathan",203,51.2,33.9,44.7,24.9,19.8,33.3,30.5,56.7,0.7,203,16.9,23.7,46.3,15.2,32.3,86.1,45
"10","Arenado, Nolan",93,53.3,42.3,36.2,14.4,5.2,24.2,31.2,32.3,0.43,93,23.8,25,35.5,8.9,36.4,82.7,20
"11","Arozarena, Randy",91,47.4,35.3,37.2,25.2,20.1,32,36.3,51.6,0.714,91,16.3,29.8,34.1,18.7,28.6,92.2,16.4
"12","Arraez, Luis",305,48.2,37.3,42.7,4,2.4,6.1,43,18.7,0.42,304,12.3,23.3,38.5,8.2,50.7,81.9,12.5
"13","Bailey, Patrick",198,50,34.7,35.4,29.7,17.2,49.6,39.4,36.4,0.439,192,14.9,28.8,35.4,13.3,25,89.2,20.9
"14","Baldwin, Brooks",137,50.1,37,37.1,26.2,18.4,35.8,45.3,40.9,0.547,130,13.2,27.8,36.9,13.2,32.4,87.9,54.3
"15","Baldwin, Drake",170,48.5,32.6,40.6,20.1,14.3,29.2,47.6,45.9,0.565,170,7.1,29.6,35.3,11.3,29.3,91.1,24.8
"16","Barger, Addison",198,51.6,37.1,41.2,23.8,15.2,35.9,35.4,54.5,0.717,198,15.4,27.8,39.9,11.1,20.8,89.1,24.8
"17","Baty, Brett",163,47.4,29.8,37.6,28.4,20.4,42.8,48.5,45.4,0.583,163,6.9,28.6,34.4,11.7,29.7,89.9,22.3
"18","Bauers, Jake",75,43,23,42.5,26.2,15.6,50.7,36,45.3,0.547,74,16.1,28.7,39.2,17.5,27.3,87.6,37.8
"19","Bell, Josh",267,46.1,31.1,36.9,24.8,16,36.6,47.2,44.9,0.476,267,10,29.4,31.8,13.3,37.5,91.3,22.6
"20","Bellinger, Cody",259,50.2,37.7,42,18.9,13.5,25.4,34.4,38.6,0.533,259,18.2,27.8,36.3,16.7,31.9,85.6,35.5
"21","Benintendi, Andrew",209,46.9,29.3,36.5,19.9,15,28,32.5,40.2,0.44,209,21.6,29.3,34.9,19.1,21.6,90.5,55.8
"22","Benson, Will",118,53.8,32.8,31.7,35.8,26.4,54,37.3,58.5,0.576,118,14.4,25,44.1,14.6,28.1,93.7,30.3
"23","Betts, Mookie",98,39.7,25.4,33.2,15.3,5.3,30.3,43.9,38.8,0.469,98,17.1,28.8,32.7,12.6,40,86.6,20
"24","Bichette, Bo",100,58.2,43.6,41.3,19,8.8,31,46,49,0.6,100,10.9,24.2,36,9.6,54.2,91.2,24.2
"25","Bleday, JJ",124,42.4,27.1,34.5,27.1,14.6,47.1,33.1,39.5,0.5,124,24.3,30.4,28.2,13.6,14.3,82.1,24.2
"26","Bogaerts, Xander",108,39.4,23.3,29.6,17.2,7,34.3,43.5,49.1,0.481,108,13.5,27,34.3,8.4,34.5,85,17.2
"27","Bohm, Alec",76,50,32,46.1,14.1,6.6,27.1,47.4,50,0.513,76,12,25,31.6,10.6,25,82,7.3
