"","last_first_name","BIP.x","Swing%","Chase%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%","SLGcon","BIP.y","Avg LA","LA Std Dev","Sweet Spot%","HH LA","Oppo FB%","Oppo FB EV","High AA%"
"1","Abrams, CJ",332,49.7,37,36.4,22.7,12.9,35.7,41.3,40.7,0.551,331,12.6,31,37.2,11.9,25.6,88.5,26.9
"2","Abreu, Wilyer",242,52.2,34.3,43.7,22.7,15,35.1,31,46.3,0.653,241,24.2,26.7,32.4,18.3,27.3,86.3,33.9
"3","Acuña Jr., Ronald",134,44.8,26.9,40,30.3,26.1,37.6,42.5,53,0.843,134,14.9,24,37.3,17.7,28.9,94.1,52.3
"4","Acuña, Luisangel",128,49,36,34.1,22.5,9.5,38.4,56.2,35.9,0.352,123,4,29.7,30.9,-1.7,27.3,82.6,10.5
"5","Adames, Willy",310,47.1,30.8,39.5,27.9,15.3,47.4,33.5,43.2,0.568,310,20.2,29.1,34.2,24.8,28.8,91.3,68.4
"6","Adams, Riley",82,48.3,35.8,35.1,37.5,23.7,56.3,52.4,47.6,0.646,82,8.4,29.1,29.3,14.3,36.4,95.2,21.5
"7","Adell, Jo",267,52.6,35.9,39.6,27.9,15.1,45.5,38.6,49.1,0.648,267,15.5,28.2,36.7,14.6,26.7,91,21.4
"8","Albies, Ozzie",357,53.5,37.1,39.1,22.2,13.4,33.8,35.3,28.9,0.389,357,19.8,29.3,34.7,15.1,24.8,85.1,38.6
"9","Allen, Nick",229,47.7,31.8,41.8,20.3,13.7,31.2,48,19.2,0.332,221,12.6,30,32.6,0.1,33.3,84.5,17.5
"10","Alonso, Pete",324,46.6,32.4,39,26.8,19.9,36.1,35.8,52.5,0.67,324,15.8,27,41.4,15.7,36.1,93.8,23
"11","Altuve, Jose",356,49.9,41,37.4,18.7,9.1,27.5,45.5,29.8,0.567,348,16.7,28.9,30.7,15,23,88,56.2
"12","Alvarez, Francisco",114,46,29.5,31.2,35.6,25.8,50.7,49.1,51.8,0.518,114,11.1,28.3,32.5,13.4,30.8,92,10.3
"13","Alvarez, Yordan",84,45.9,34.1,40.4,22.2,10,36.2,33.3,46.4,0.405,84,20.1,26.1,40.5,19.4,19.2,92.5,NA
"14","Andujar, Miguel",195,52.2,38.1,38.3,17.8,9,28.6,45.6,34.9,0.508,195,11.5,30,32.3,8.4,31.2,88,4.5
"15","Anthony, Roman",119,36.8,23.3,33.3,27.8,17.4,44.8,53.8,57.1,0.588,119,5.1,25.3,35.3,6.9,44,92.7,23.1
"16","Aranda, Jonathan",259,49.2,33.1,43.4,24.9,18.6,35,36.7,54.4,0.66,259,14.9,24.2,43.6,13.3,32.4,85.9,40.5
"17","Arcia, Orlando",121,53.7,37.4,37.9,23.6,14.5,38.3,49.6,30.6,0.355,120,6.5,36.2,26.7,8.3,22.2,84.4,12.2
"18","Arenado, Nolan",324,48.6,37.1,36.1,16.7,6,28.8,36.7,33,0.404,324,19.2,29.3,32.4,10.2,28.6,83.4,21.5
"19","Arias, Gabriel",200,58.4,43.1,31.4,40.3,31.7,50.9,52.5,43,0.575,198,5.4,29.6,33.3,13.8,35.6,95.7,20.8
"20","Arozarena, Randy",298,43.7,29.2,36.9,29.7,24.4,37.9,40.3,52.7,0.674,298,14.1,30.7,35.2,14.8,26.7,90.7,19
"21","Arraez, Luis",446,48.9,37,43.4,4.4,2.8,6.8,44.8,15.5,0.399,435,12.2,24.4,38.2,9.2,46.2,81.3,14
"22","Bader, Harrison",202,46,34.9,36.7,29.1,21.3,37.9,48.5,40.1,0.614,202,12.2,31.4,31.2,11.8,24.5,91,25.2
"23","Bailey, Patrick",198,50,34.7,35.4,29.7,17.2,49.6,39.4,36.4,0.439,192,14.9,28.8,35.4,13.3,25,89.2,20.9
"24","Baldwin, Brooks",137,50.1,37,37.1,26.2,18.4,35.8,45.3,40.9,0.547,130,13.2,27.8,36.9,13.2,32.4,87.9,54.3
"25","Baldwin, Drake",206,48.3,31.6,41.4,20,13.8,30.3,49,48.5,0.583,206,6.5,29.5,34.5,10.8,25,91.1,24
"26","Barger, Addison",241,50.7,36.9,39.7,24.9,16.8,36,39.4,53.9,0.689,241,12.7,29,38.2,10.4,21.7,89.7,23.8
"27","Bart, Joey",144,39.9,27.1,34.8,29.9,18,45.9,54.2,41,0.438,144,8.3,22.6,36.8,11.3,27.6,90.3,17.2
"28","Baty, Brett",199,47.2,29.4,37.1,27.4,18.7,43.2,50.3,44.7,0.538,198,5.8,29.4,33.8,12,28.6,89.1,25
"29","Bauers, Jake",83,43.3,23.1,40.3,28.1,16.4,55,36.1,45.8,0.542,82,16.7,28.1,39,17.8,32,86.8,37.5
"30","Beck, Jordan",261,46.2,30.7,35.9,30.1,20.9,44.2,40.6,40.6,0.67,259,13.4,28.7,39.4,14.6,33.3,89.5,25.6
"31","Bell, Josh",267,46.1,31.1,36.9,24.8,16,36.6,47.2,44.9,0.476,267,10,29.4,31.8,13.3,37.5,91.3,22.6
"32","Bellinger, Cody",361,49.3,36.4,41.2,18.1,11.7,26.2,32.7,39.1,0.562,361,18.3,27.4,38.2,16.7,30.5,85.6,34.4
"33","Benintendi, Andrew",257,49.5,32.3,34.9,23.8,17.9,32.4,32.3,38.1,0.502,257,20.9,29,36.2,20.1,22,90.2,55.5
"34","Benson, Will",131,52.6,32.5,31.2,35.4,26.7,51.8,37.4,56.5,0.58,131,15.1,26.2,42,15.6,27,94.6,30.9
"35","Betts, Mookie",370,42,26.5,32.2,16.4,5.1,35.8,34.3,33.2,0.416,370,18.3,27.4,37.3,14.1,28.7,86.9,26.8
"36","Bichette, Bo",411,53.5,39.4,39.8,19,10.6,29.6,47.2,48.9,0.562,411,8.5,25.3,39.7,8.5,34.9,92.4,19.1
"37","Bleday, JJ",160,42.8,27.8,33.1,26.9,15.4,45.3,33.1,40,0.562,160,22.9,29.5,31.2,13.6,13.7,80,32.6
"38","Bogaerts, Xander",347,40.7,26.4,32.4,19.2,10.3,33.5,43.2,39.5,0.47,346,11.5,28.9,37.9,10.8,28.7,88.1,17.1
"39","Bohm, Alec",295,48.2,30,39.8,15.2,8.2,28.3,50.8,46.8,0.468,295,6.2,26.4,34.9,8.4,36.7,88.4,8.1
"40","Bregman, Alex",218,41.6,22.5,41,14.9,8.3,30.6,39,46.8,0.647,218,17.6,28,32.6,15.7,15.4,91,53.8
"41","Burger, Jake",204,55.3,43.6,35.1,28.5,16.4,42.4,39.7,48,0.544,204,15.6,31,34.3,12.3,35.7,88.9,6.6
"42","Burleson, Alec",312,49.2,33.9,38.7,16.5,11.4,24,39.7,42.3,0.526,309,16.6,27.4,35,13,33.7,89.9,37.1
"43","Busch, Michael",263,47.1,29.4,39.3,26,14.5,46.9,36.1,45.2,0.684,262,17,24.8,42.4,19.5,30.4,89.5,55.7
"44","Butler, Lawrence",295,46.6,30.8,32.9,33.4,21.8,50.8,46.4,42.7,0.59,291,7.5,29.7,35.4,9.9,46.2,89.7,14.7
"45","Buxton, Byron",234,50.3,33.3,36.3,29.7,17.1,48.5,38.9,55.1,0.782,234,17.8,27.3,34.2,20.1,23,90.5,44.7
"46","Báez, Javier",239,53.5,45.1,33.5,28.8,15.2,41.8,44.8,41,0.561,239,10.7,28.8,34.3,8.7,29,85.8,20.7
"47","Caballero, José",162,44.6,30.9,39.4,26.6,15.9,41.3,35.2,29.6,0.451,153,19,27.3,42.5,14.7,20.5,90.1,36.6
"48","Cabrera, Oswaldo",84,48.5,31.6,36.4,24.3,17.9,35,51.2,34.5,0.393,81,8.8,26.7,30.9,1.8,58.3,88.1,NA
"49","Caglianone, Jac",116,52.9,41.6,35.6,26.1,11,41.6,50.9,42.2,0.362,116,5.1,32.7,30.2,10.4,38.1,87.2,12.1
"50","Call, Alex",176,38,23.1,34.6,15.7,11.3,24.4,44.9,29,0.449,171,13.1,24.2,35.1,13,57.8,87.5,25
"51","Caminero, Junior",345,51.3,37.5,37.2,24.4,16.6,34.4,46.7,49.3,0.649,345,10.4,30,28.4,10.4,31.5,94.7,22.5
"52","Campbell, Kristian",157,42.1,26.4,37.8,27.3,18.9,41.8,54.8,42,0.503,157,4.7,29.2,31.8,7.8,41.4,90.9,28.8
"53","Canario, Alexander",105,54,35.9,33.9,36.9,27.1,52.1,45.7,46.7,0.467,105,11.2,28.7,34.3,12.9,42.9,92.2,39
"54","Canha, Mark",91,45.8,32,37.1,23.7,13,39.4,36.3,33,0.33,91,19.9,31,27.5,9,39.1,91.4,46
"55","Canzone, Dominic",118,50.8,39.2,39.3,24.1,15.7,33.6,45.8,47.5,0.61,118,9,27.2,36.4,8.8,22.2,82.3,38.9
"56","Caratini, Victor",222,47.7,27.4,36.2,19.1,14.9,28.4,41.9,40.1,0.514,222,13.1,28.7,34.2,11.9,30,84.9,22.7
"57","Carlson, Dylan",113,50.6,30.1,42.9,23,21.2,26.6,36.3,27.4,0.389,111,16.2,29.7,36.9,20,24.3,91,34.3
"58","Carpenter, Kerry",228,55.2,40.4,39.6,25.2,17.9,34.8,32.5,46.9,0.697,228,21.9,26.8,38.6,19.6,15.4,89.8,61.7
"59","Carroll, Corbin",289,49.7,37.1,40.6,25.4,18.8,33.3,36.3,49.5,0.754,289,16.4,31.4,34.6,17.1,28.9,89.7,24.5
"60","Carter, Evan",129,45.3,26,33,27.2,17.1,48.5,38,35.7,0.496,128,15.8,29.2,34.4,9.2,36.4,82.8,16.2
"61","Castellanos, Nick",338,58.3,44.5,37.2,28.4,16,42,40.2,35.2,0.544,338,14.5,23.7,41.1,16.8,30.1,88.9,45.5
"62","Castro, Willi",239,53.2,37.5,40.3,27.4,16.8,42.7,39.7,39.7,0.54,238,12.5,29.3,39.1,10.6,30.6,84.3,17.9
"63","Chapman, Matt",239,42.1,24.4,38.6,26.1,18.6,40.7,38.1,49.4,0.603,239,17.4,29.6,35.1,8.7,31.7,90.8,3.2
"64","Chisholm Jr., Jazz",213,47.3,31,36,31.8,23.3,45.1,39.4,45.1,0.667,209,16,28.9,33,18.3,19.2,87.9,48.6
"65","Chourio, Jackson",353,54.3,40.9,33.3,26.1,15.4,39.8,41.1,39.9,0.598,350,11.6,32.9,37.1,11,45.3,89.5,14.1
"66","Clarke, Denzel",89,46.8,32.4,35.9,32,16.3,53.7,55.1,41.6,0.618,87,4.7,30,31,7.4,28.6,78.7,12.9
"67","Clemens, Kody",161,49.1,31.4,40.5,23.7,18.6,33.3,37.3,53.4,0.634,158,15.5,27.2,34.8,17.6,13,91.3,31.3
"68","Clement, Ernie",369,53.4,39.3,36,13.4,6.2,22.9,36.9,25.7,0.434,364,16.8,27.1,37.4,10.8,36.7,86.9,32.2
"69","Collins, Isaac",193,43.6,23,39.8,23.8,15.7,42.7,43,39.9,0.58,189,12.1,27.9,39.2,8.6,35.6,85.5,6.3
"70","Conforto, Michael",230,45.1,28.4,39.6,25.3,16.3,40.4,41.3,42.6,0.448,230,14.3,28.9,35.2,14.6,39.4,90.3,26.7
"71","Contreras, William",326,46.2,30.2,36.8,25,17.3,36.8,51.5,46.6,0.457,326,6.6,30.7,31.9,9.5,41.8,91,29
"72","Contreras, Willson",294,48.6,35.5,37.9,27.4,16.2,42.1,39.8,49,0.616,293,12.3,27.3,41.6,15.4,27.7,90.5,21.8
"73","Correa, Carlos",295,46.6,32.3,36.5,22,13.5,34,48.1,47.5,0.495,295,8,29.3,33.6,7.1,40.4,87.5,18.9
"74","Cowser, Colton",128,43.4,29.1,31.6,33.2,20.3,54.7,46.9,45.3,0.617,127,13.4,24.3,31.5,16.1,43.6,91.3,49.6
"75","Crawford, J.P.",344,44.3,25.4,42,19.5,14.6,29.4,43.3,34.3,0.456,337,11.6,25.6,44.2,8.6,39.3,85.1,10.8
"76","Crews, Dylan",110,46.6,31.3,30.1,31.5,18,53.2,48.2,40.9,0.509,110,7.7,29.7,31.8,10.7,42.9,92.4,16.7
"77","Cronenworth, Jake",227,44,27.8,44.5,19.5,10.1,35.3,43.2,37.9,0.511,222,15.4,27.2,30.6,12.2,28.4,85.9,13.8
"78","Crow-Armstrong, Pete",332,61.2,48.1,37.7,29.1,17.4,41.3,32.2,42.5,0.708,324,21.3,28.4,37.3,20.6,19,88.3,57.7
"79","Cruz, Oneil",247,41.1,30.5,32.8,34.5,24.9,44.8,47,57.5,0.628,247,8.9,29.4,33.6,9.8,25.4,93.5,12.7
"80","Davis, Henry",127,54,37,39.7,27.2,17.9,41.6,29.1,36.2,0.386,125,23.6,28.8,38.4,12.4,25,87.4,11
"81","De La Cruz, Elly",320,45.3,31.5,32.1,30.9,21.3,44.2,51.2,45.6,0.659,319,8.1,28.2,35.7,10.9,41.7,89.2,15.5
"82","Devers, Rafael",304,48.1,30,39.4,32.1,28.9,37,44.4,56.2,0.661,304,11.9,28.8,34.2,13.8,35.6,94,37.1
"83","Diaz, Yainer",325,59.3,47.2,35.7,22.5,8.8,36.1,44.9,44,0.495,325,11,28.7,36,12.2,33.8,91.8,27.9
"84","Dingler, Dillon",229,49.5,35.1,35.3,24.7,11.1,45.9,34.9,46.3,0.555,229,16.8,25.7,41,16.1,40.6,88.4,37.1
"85","Domínguez, Jasson",231,50.4,34.8,41.8,27.4,16.4,42.5,45.5,49.8,0.558,231,13.3,25.8,31.2,8.2,44.6,86.1,11
"86","Donovan, Brendan",358,43.6,28.5,39.2,13,6.2,24.8,43.9,39.7,0.464,354,12.1,25.9,41,10.4,42.7,88.7,15.1
"87","Doyle, Brenton",255,50.1,33.9,34.8,27.8,15.9,45.7,45.1,45.1,0.471,252,10.1,29.3,35.3,10.9,36.2,90.6,33.8
"88","Dubón, Mauricio",237,55.2,42.1,35.6,16.1,8.7,25,42.2,27.8,0.447,230,12.3,29.4,35.7,7.2,36.5,84.5,12.9
"89","Duran, Jarren",342,47.4,35.3,34.1,28.5,15.4,44.4,40.9,47.7,0.623,341,12.9,26.8,35.8,10.1,31.5,91,10.4
"90","Durbin, Caleb",263,44,28.6,35.2,13.6,6.8,25.5,43.3,24.3,0.403,254,14.3,32.8,29.1,8.8,19,86.8,11.4
"91","Díaz, Elias",158,50.7,35.5,31.2,33.6,20.7,51.9,39.2,38,0.411,154,17.6,33.5,29.2,8.1,23.8,86,12.8
"92","Díaz, Yandy",374,45.1,28.9,37.8,17.6,10.8,29.4,53.7,52.1,0.545,374,5.4,27.5,31.3,6.7,53.3,93.3,6.3
"93","Edman, Tommy",251,47.4,33.2,35.4,19.9,9.1,36.3,46.2,37.5,0.478,249,11.6,28.9,34.5,11.4,31.1,87,22.7
"94","Edwards, Xavier",347,47.7,29.5,41.7,10.4,6.6,17.5,46.1,30.8,0.427,331,10,25.3,38.1,5.9,41.3,83.6,11.3
"95","Encarnacion-Strand, Christian",100,56.3,48.6,36.4,25.8,11.6,39.3,39,44,0.49,100,21,30.4,29,27.3,26.7,89.1,52.7
