"","last_first_name","BIP.x","Swing%","Chase%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%","SLGcon","BIP.y","Avg LA","LA Std Dev","Sweet Spot%","HH LA","Oppo FB%","Oppo FB EV","High AA%"
"1","Abrams, CJ",95,48.8,38.1,33.9,25.8,10.8,44.3,41.1,35.8,0.558,95,16.5,26.7,37.9,14.9,25,87,25.9
"2","Acuña Jr., Ronald",110,46.6,29.6,40.8,28.6,22.4,38.3,42.7,54.5,0.845,110,14.7,23.2,37.3,16.5,30.8,96.1,52.7
"3","Acuña, Luisangel",92,50.6,37.6,31.2,22.5,7.1,40.6,58.7,35.9,0.315,89,3.3,29.8,28.1,-4.1,26.7,84.7,13
"4","Adames, Willy",236,49.1,31.9,39.9,28.2,16.3,47.2,35.6,42.8,0.589,236,18.4,28.7,36,24,28,90.2,67.9
"5","Adell, Jo",216,53,36.5,39.7,27.8,14.1,46.2,37.5,48.6,0.62,216,16.3,27.5,36.6,14,29.5,91.4,21.4
"6","Allen, Nick",166,46.7,31.1,38.3,22.7,14.7,36.1,48.2,18.7,0.355,160,11.1,29.1,33.8,-0.8,34.5,86.3,16.5
"7","Alonso, Pete",242,47.5,32.9,39.3,25.5,18.7,34.6,36.8,52.9,0.678,242,16,26,40.1,14.2,39.1,94,22.2
"8","Altuve, Jose",302,50.2,41.5,36.8,18.1,9.1,26.3,46.4,29.5,0.566,297,15.7,28.6,29.6,13.9,25.3,88.4,54.1
"9","Alvarez, Francisco",89,46,29.1,31,36.5,26.3,53.4,46.1,52.8,0.551,89,12.4,27.9,37.1,13.5,31.8,90.9,8.6
"10","Andujar, Miguel",159,52.8,38.6,36.8,17.5,9.9,26.9,46.5,36.5,0.447,159,11.1,30.4,31.4,7.8,33.3,88.9,4.5
"11","Arcia, Orlando",94,53.3,35.6,38.9,23.8,14.8,40,53.2,29.8,0.319,94,2.8,36.1,25.5,6.6,30,84.4,11.1
"12","Arenado, Nolan",231,47.1,35.4,36.1,17.6,6.4,30.6,39,33.3,0.394,231,17.4,30.7,31.2,10.8,24.6,84,22.1
"13","Arias, Gabriel",143,57.6,42.5,32.7,37.5,29.4,47.4,51.7,43.4,0.503,141,7,28.2,32.6,14.6,35.3,96.1,18
"14","Arozarena, Randy",207,42.5,27.2,36.8,31.4,25.9,40.3,42,53.1,0.657,207,13.2,31.2,35.7,13.1,25.5,89.5,20
"15","Arraez, Luis",141,50.2,36.3,44.9,5.2,3.4,8.5,48.9,8.5,0.355,131,12,27.1,37.4,13.8,34.5,79.1,17.8
"16","Bader, Harrison",148,46,35.5,34.9,27.9,18.5,37.8,50.7,38.5,0.588,148,10.9,30.7,29.7,10.5,15.6,90.5,19.3
"17","Bart, Joey",110,38.7,25.9,34,29,17.3,45.5,56.4,40,0.364,110,7.4,22.9,33.6,9.9,22.7,94.2,13
"18","Beck, Jordan",197,45.3,29.6,33.9,31.6,22.5,45.7,41.6,38.1,0.614,195,13.6,28.9,37.9,15.4,34,89.2,28.1
"19","Bellinger, Cody",102,46.8,32.6,38.6,15.7,6.8,28.9,28.4,40.2,0.637,102,18.5,26.5,43.1,16.6,27,85.8,32
"20","Betts, Mookie",272,42.9,27,31.9,16.8,5,38.1,30.9,31.2,0.397,272,18.7,26.9,39,14.8,25.3,87,29.4
"21","Bichette, Bo",311,52.1,38.1,39.3,19,11.2,29.1,47.6,48.9,0.55,311,7.7,25.6,40.8,8.2,27.1,93.4,17
"22","Bogaerts, Xander",239,41.3,27.6,33.5,20,11.7,33.2,43.1,35.1,0.464,238,10.6,29.7,39.5,12.3,25.5,90.5,17.1
"23","Bohm, Alec",219,47.4,29.2,37.2,15.7,8.9,28.7,52.1,45.7,0.452,219,4.2,26.6,36.1,7.5,42.5,90.2,8.4
"24","Bregman, Alex",161,43.3,23.8,39.7,16.2,8.6,34.3,36.6,45.3,0.671,161,19.8,26.6,34.2,18.2,15.4,91.3,52.8
"25","Burger, Jake",156,55.6,43.9,35,29.5,15.9,44.8,43.6,46.8,0.526,156,12.1,31.1,35.3,11.4,38.5,90.9,6.2
"26","Buxton, Byron",184,50.2,33.8,35.6,30.9,16.4,51.5,42.9,51.6,0.755,184,16.8,27.6,29.3,17.7,25,89.9,43
"27","Báez, Javier",167,53.1,43.8,32.1,30,16.2,43.9,41.9,41.9,0.551,167,11.8,29.2,33.5,8.1,28.8,86,22.9
"28","Caballero, José",111,47.1,31.8,40.3,26.4,18.8,37.9,35.1,27,0.378,104,20.3,28,41.3,15.3,18.8,89.2,36.8
