"","last_first_name","Location","BIP","Swing%","Chase%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%","SLGcon","Sweet Spot%"
"1","Abrams, CJ","high",48,69.2,53.3,41.4,21.1,18.3,33.3,31.2,25,0.625,33.3
"2","Abrams, CJ","low",87,72.5,68.4,44,12.5,13.7,7.7,43.7,48.3,0.46,35.6
"3","Abrams, CJ","mid (v)",78,74.2,76.7,44.6,19.8,18,30.3,28.2,59,0.769,39.7
"4","Abreu, Wilyer","low",74,70.7,65.3,40.4,15.8,16.5,12.5,32.4,63.5,0.838,36.5
"5","Abreu, Wilyer","mid (v)",91,71.6,68.4,37.2,18.4,18.2,19.2,25.3,50.5,0.703,37.4
"6","Adames, Willy","mid (v)",43,75.5,46.7,44.8,14.3,13.3,28.6,20.9,46.5,0.209,37.2
"7","Albies, Ozzie","high",44,75.4,48.9,52.1,21.9,20.5,30.4,18.2,38.6,0.705,36.4
"8","Albies, Ozzie","low",91,87.1,83.6,41,15.2,12.8,23.9,42.9,34.1,0.429,35.2
"9","Albies, Ozzie","mid (v)",96,84.7,65.4,43.1,12.5,10.6,35.3,36.5,38.5,0.49,37.5
"10","Alvarez, Yordan","high",70,71.1,62,39.4,15.5,16.9,9.7,25.7,48.6,0.343,25.7
"11","Alvarez, Yordan","low",73,62.1,62.8,33.1,11.3,9.4,18.5,27.4,49.3,0.986,49.3
"12","Alvarez, Yordan","mid (v)",99,70.3,38.7,38,9.1,9.1,8.3,33.3,56.6,0.677,35.4
"13","Arenado, Nolan","mid (v)",47,72.4,63.2,36.9,7.1,5.6,16.7,29.8,40.4,0.638,51.1
"14","Arraez, Luis","high",92,62.6,54.9,39,2.5,3.1,0,35.9,21.7,0.446,43.5
"15","Arraez, Luis","low",96,62.3,52.5,40.6,4.6,3.5,9.4,34.4,39.6,0.354,52.1
"16","Arraez, Luis","mid (v)",122,65.2,51.5,42.2,3.1,3.4,0,40.2,36.9,0.443,47.5
"17","Bailey, Patrick","high",56,77.6,58.1,52.5,15.8,11.2,44,25,41.1,0.625,44.6
"18","Bailey, Patrick","low",78,58.2,46.5,35.7,24.5,22.7,33.3,56.4,39.7,0.321,28.2
