"","last_first_name","Location","BIP","Swing%","Chase%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%","SLGcon","Sweet Spot%"
"1","Abrams, CJ","high",64,66.7,54.5,42.3,22.5,20.5,30.6,29.7,26.6,0.656,32.8
"2","Abrams, CJ","low",130,68.1,63.6,40.3,14.1,15,10.7,48.5,49.2,0.531,31.5
"3","Abrams, CJ","mid (v)",122,75,72.6,44,19.8,18.4,28.9,32,54.1,0.787,41.8
"4","Abreu, Wilyer","low",89,69.8,64.4,39.2,15.6,16.1,13.2,33.7,60.7,0.775,36
"5","Abreu, Wilyer","mid (v)",103,71.7,69,37.7,18.2,17.4,24.1,28.2,49.5,0.641,35.9
"6","Acuña Jr., Ronald","mid (v)",53,78.8,53.8,46.7,18.4,18.1,21.4,41.5,54.7,0.566,39.6
"7","Adames, Willy","high",75,76.9,70.8,42.7,27.3,24.2,41.3,22.7,49.3,0.76,40
"8","Adames, Willy","low",136,63.3,51.4,35,21,18.9,30.9,38.2,43.4,0.676,39.7
"9","Adames, Willy","mid (v)",166,75.1,60.7,41.5,17.2,18.1,8.1,27.7,45.8,0.657,38
"10","Adell, Jo","low",107,70.9,66,39.4,16.2,14.5,21,28,55.1,0.804,41.1
"11","Adell, Jo","mid (v)",85,78.8,70.5,49.6,17.7,17.9,16.1,32.9,45.9,0.506,29.4
"12","Ahmed, Nick","mid (v)",64,74.9,68.2,42.2,16.1,17.8,0,39.1,29.7,0.359,32.8
"13","Albies, Ozzie","high",51,76,51,51.1,21.2,20.1,28,21.6,37.3,0.627,33.3
"14","Albies, Ozzie","low",98,86,83.6,40.5,14.9,12.5,23.9,44.9,33.7,0.408,32.7
"15","Albies, Ozzie","mid (v)",105,85,65.4,43.3,11.6,9.7,35.3,36.2,40,0.562,39
"16","Alonso, Pete","high",73,56.8,48.5,45,20.1,22.4,12.5,19.2,49.3,0.767,34.2
"17","Alonso, Pete","low",131,59.3,56.6,39.9,11.8,13,7.8,51.1,51.1,0.588,32.8
"18","Alonso, Pete","mid (v)",141,65.8,57.7,46,12.4,11.4,19.5,37.6,46.8,0.73,30.5
