"","last_first_name","Location","BIP","Swing%","Chase%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%","SLGcon","Sweet Spot%"
"1","Abrams, CJ","low",43,60,54.8,32.2,17.8,17.8,17.6,58.1,51.2,0.674,23.3
"2","Abrams, CJ","mid (v)",44,76.5,63.2,42.7,19.7,19,25,38.6,45.5,0.818,45.5
"3","Acuña Jr., Ronald","mid (v)",41,78.8,58.3,43.5,20.9,20.8,21.4,41.5,58.5,0.463,39
"4","Adames, Willy","high",55,79,74.4,42,28.2,25.6,40.6,21.8,49.1,0.764,41.8
"5","Adames, Willy","low",101,62.1,52.9,35.2,21.5,18.6,33.3,40.6,40.6,0.713,43.6
"6","Adames, Willy","mid (v)",123,75,65.2,40.4,18.2,19.9,3.3,30.1,45.5,0.813,38.2
"7","Adell, Jo","low",74,67.6,60.6,40.9,15.8,13.7,22.5,28.4,52.7,0.784,39.2
"8","Adell, Jo","mid (v)",62,78.1,72.7,53.2,16.3,16.8,12.5,32.3,45.2,0.452,30.6
"9","Ahmed, Nick","mid (v)",44,77.1,66.7,37.6,15.8,17.2,0,45.5,25,0.273,34.1
"10","Alonso, Pete","high",50,57.3,44.8,42.7,24,25.8,16.7,20,48,0.86,36
"11","Alonso, Pete","low",98,57.1,53.8,39.5,11.5,12.7,8,49,57.1,0.622,37.8
"12","Alonso, Pete","mid (v)",103,64.5,58.7,46.1,11.5,9.7,25.9,42.7,47.6,0.67,28.2
"13","Altuve, Jose","high",87,65,61.7,38.7,10.4,11,8.1,37.9,33.3,0.598,34.5
"14","Altuve, Jose","low",60,59.3,54.4,38.7,16.8,16,18.9,53.3,23.3,0.433,28.3
"15","Altuve, Jose","mid (v)",131,72.8,62.2,38.2,10.4,10.3,10.7,45.8,37.4,0.557,38.2
"16","Alvarez, Francisco","mid (v)",60,69.1,68,37.9,16.7,16.5,17.6,38.3,41.7,0.55,31.7
"17","Alvarez, Yordan","low",40,66,58.3,30,12.9,12.5,14.3,37.5,75,0.95,40
"18","Alvarez, Yordan","mid (v)",43,65.5,57.1,42.9,7.7,6.3,16.7,44.2,58.1,0.767,41.9
"19","Amaya, Miguel","low",57,67.1,65.7,24.5,23.6,20.7,34.8,52.6,36.8,0.456,36.8
"20","Amaya, Miguel","mid (v)",76,81,69.6,41.1,10.1,9.9,12.5,42.1,40.8,0.553,36.8
"21","Andujar, Miguel","low",60,65.2,71.1,34.6,9.3,7.5,14.8,61.7,36.7,0.467,26.7
"22","Andujar, Miguel","mid (v)",82,70.1,61.5,34.6,5.1,5,6.2,47.6,36.6,0.366,24.4
"23","Arcia, Orlando","high",64,74.8,74.4,44.2,18.6,17.9,21.9,34.4,31.2,0.344,18.8
"24","Arcia, Orlando","low",79,64.1,47,35.1,23.6,21.1,33.3,77.2,35.4,0.278,21.5
"25","Arcia, Orlando","mid (v)",140,74.1,61.8,35.3,10.4,9.7,19,46.4,48.6,0.693,38.6
"26","Arenado, Nolan","high",56,60.7,59.3,50,12.2,13.3,8.6,30.4,35.7,0.375,32.1
"27","Arenado, Nolan","low",108,59.9,50.7,35.2,10.6,10.6,10.5,47.2,35.2,0.481,37
"28","Arenado, Nolan","mid (v)",116,67,41.4,42.4,8.5,8.5,8.3,32.8,31.9,0.595,38.8
"29","Arozarena, Randy","high",44,55.9,44.4,40.1,29.9,30.9,25,38.6,54.5,0.795,36.4
"30","Arozarena, Randy","low",67,60.1,60.2,36.3,26.3,24.8,30,46.3,37.3,0.567,29.9
"31","Arozarena, Randy","mid (v)",89,60.6,40.5,39.7,22.8,22.3,29.4,47.2,48.3,0.551,24.7
"32","Arraez, Luis","high",41,61.9,34.4,43.6,2.6,3,0,48.8,17.1,0.463,31.7
"33","Arraez, Luis","mid (v)",49,67.4,68.8,38.9,8.3,7.1,18.2,44.9,26.5,0.245,36.7
"34","Bader, Harrison","high",55,68.3,58.8,40.2,10.7,7.6,25,38.2,45.5,0.6,43.6
"35","Bader, Harrison","mid (v)",76,63,55,32.3,10.5,9.8,18.2,51.3,32.9,0.579,39.5
"36","Bart, Joey","mid (v)",53,66.2,73.3,39.4,8.7,7.5,18.2,50.9,41.5,0.66,28.3
"37","Bellinger, Cody","mid (v)",52,72.2,41.7,35.4,10.4,11,0,30.8,28.8,0.308,25
"38","Betts, Mookie","high",62,59.3,36.8,44.5,7,5.6,14.3,14.5,27.4,0.468,30.6
"39","Betts, Mookie","low",58,55.4,40.5,31.8,14,14.1,13.3,36.2,37.9,0.569,31
"40","Betts, Mookie","mid (v)",106,66.1,34.4,37.4,3.4,3,9.1,30.2,49.1,0.679,41.5
"41","Bichette, Bo","low",62,69.8,66.7,34.7,12.7,10,21.4,35.5,50,0.565,40.3
"42","Bichette, Bo","mid (v)",62,77.2,71.4,47,11.4,10.9,15,51.6,53.2,0.452,33.9
"43","Bogaerts, Xander","high",45,63.2,60,42.7,10.4,9,16.7,35.6,42.2,0.711,37.8
"44","Bogaerts, Xander","low",71,50.5,29.3,32.2,18.2,17.5,23.5,52.1,31,0.437,36.6
"45","Bogaerts, Xander","mid (v)",109,66.7,63.6,40,8.1,7.4,14.3,39.4,39.4,0.477,31.2
"46","Bohm, Alec","high",41,70.2,59.4,52.8,14.4,12.3,26.3,41.5,26.8,0.512,39
"47","Bohm, Alec","low",106,60.8,57.8,34.4,7.7,8.2,5.4,54.7,55.7,0.547,33
"48","Bohm, Alec","mid (v)",118,79.7,65.5,36,14,12.9,26.3,39,54.2,0.568,41.5
"49","Bregman, Alex","high",85,68,46,43.6,9.4,9.5,8.7,30.6,47.1,0.482,34.1
"50","Bregman, Alex","low",83,58.8,38.9,35,14.1,14.1,14.3,55.4,50.6,0.554,28.9
"51","Bregman, Alex","mid (v)",126,70.4,63,38.7,7.7,6.8,13.8,31.7,39.7,0.627,39.7
"52","Bride, Jonah","mid (v)",45,53.4,35.7,33.8,1.4,1.5,0,40,46.7,0.711,33.3
"53","Burger, Jake","high",60,77.4,71.8,44.6,9.2,6.9,17.9,25,63.3,0.933,41.7
"54","Burger, Jake","low",49,57.5,64.8,20.9,42.5,35.2,56.5,61.2,44.9,0.429,22.4
"55","Burger, Jake","mid (v)",106,73.9,69.8,38.3,9,9.4,6.7,43.4,56.6,0.736,30.2
"56","Buxton, Byron","low",47,77.6,80,29.8,31.4,24.7,53.6,36.2,44.7,0.383,23.4
"57","Buxton, Byron","mid (v)",73,78,61.5,45.2,13.6,13,18.8,35.6,61.6,1.068,42.5
"58","Báez, Javier","mid (v)",41,61.8,35,40.7,8.6,9.5,0,41.5,51.2,0.585,34.1
"59","Caballero, José","high",51,67.8,66.7,49.7,14.5,14.4,14.7,15.7,33.3,0.431,35.3
"60","Caballero, José","low",46,61.4,60.5,26.9,27.8,24.7,39.1,60.9,32.6,0.391,21.7
"61","Caballero, José","mid (v)",100,72,62.5,34.6,10.8,8.5,30,42,31,0.52,41
"62","Campusano, Luis","low",53,64.4,76.3,29.4,8.2,7.1,10.3,60.4,41.5,0.453,30.2
"63","Campusano, Luis","mid (v)",62,72.8,57.1,35.7,15.1,14.4,25,35.5,43.5,0.306,27.4
"64","Canha, Mark","low",52,51.5,39.5,33.3,15.7,14.1,23.5,50,28.8,0.308,34.6
"65","Canha, Mark","mid (v)",78,62.9,59.4,44.9,11.2,11.9,5.3,51.3,44.9,0.359,30.8
"66","Carroll, Corbin","mid (v)",52,58.2,57.9,30.3,7.9,9,0,55.8,42.3,0.577,36.5
"67","Castellanos, Nick","high",41,79.6,74.2,46.6,22.6,20,34.8,22,48.8,0.561,51.2
"68","Castellanos, Nick","low",116,72.9,65.6,36,21.8,17.6,37.3,44.8,41.4,0.552,42.2
"69","Castellanos, Nick","mid (v)",123,86.4,68.8,39.6,12.2,12,13.6,32.5,44.7,0.569,39
"70","Chapman, Matt","high",42,63.2,46.8,43.8,30,29.7,31.8,26.2,52.4,0.833,31
"71","Chapman, Matt","low",97,55.6,43,39.2,14.4,13.7,17.6,41.2,56.7,0.711,36.1
"72","Chapman, Matt","mid (v)",107,67.1,54.8,43.6,18.2,18.3,17.6,32.7,51.4,0.626,32.7
"73","Chisholm Jr., Jazz","mid (v)",55,72.3,45.8,32.5,16.7,16.5,18.2,54.5,41.8,0.655,34.5
"74","Chourio, Jackson","high",40,71.9,65.6,46.9,21.9,23.4,14.3,25,55,0.875,42.5
"75","Chourio, Jackson","low",59,50.8,48.8,31.5,21,18.4,33.3,55.9,42.4,0.814,39
"76","Chourio, Jackson","mid (v)",118,69.3,55.6,28.4,12.4,13.3,5,47.5,58.5,0.678,33.9
"77","Clement, Ernie","high",47,76,77.1,46.8,10.8,11.9,7.4,14.9,27.7,0.447,40.4
"78","Clement, Ernie","low",56,60.9,50.9,33,13.2,10.1,22.2,55.4,30.4,0.589,26.8
"79","Clement, Ernie","mid (v)",81,68.4,52.9,35.6,2.3,2.4,0,38.3,29.6,0.457,35.8
"80","Contreras, William","high",60,76.9,59.1,41.9,25.8,25,30.8,35,48.3,0.633,28.3
"81","Contreras, William","low",108,62.5,54.5,29.7,21.6,18.4,33.3,66.7,56.5,0.722,28.7
"82","Contreras, William","mid (v)",134,77.2,63.2,39.3,12,11.2,20.8,48.5,56.7,0.575,35.1
"83","Contreras, Willson","low",46,64.5,45.9,35.8,22,21.7,23.5,45.7,47.8,0.674,32.6
"84","Contreras, Willson","mid (v)",70,76.7,61.9,39.9,15.8,14.5,30.8,41.4,52.9,0.7,34.3
"85","Correa, Carlos","low",60,55.1,42.6,29.8,17.5,17,20,51.7,45,0.683,31.7
"86","Correa, Carlos","mid (v)",71,74.4,66.7,40,11,11.3,8.3,39.4,57.7,0.577,35.2
"87","Crawford, J.P.","mid (v)",42,62.8,38.9,35.8,12.3,13.5,0,47.6,45.2,0.429,31
"88","Cronenworth, Jake","mid (v)",52,71.8,50,47.3,6.2,6.9,0,40.4,36.5,0.385,25
"89","De La Cruz, Bryan","low",84,68.6,61.8,36.8,23.6,23.6,23.4,54.8,39.3,0.274,26.2
"90","De La Cruz, Bryan","mid (v)",109,77.1,63.4,39.8,17.6,17.4,19.2,35.8,46.8,0.706,39.4
"91","DeJong, Paul","low",64,75,64.7,43.3,19.3,18.8,21.2,39.1,45.3,0.531,31.2
"92","DeJong, Paul","mid (v)",94,84.9,75.9,45.3,17.7,18.1,13.6,26.6,48.9,0.83,45.7
"93","DeLuca, Jonny","low",42,64.1,52.4,44.9,12.2,11.8,13.6,33.3,31,0.643,40.5
"94","DeLuca, Jonny","mid (v)",64,77,66.7,43.3,10.6,12,0,35.9,26.6,0.422,31.2
"95","Devers, Rafael","low",42,65.9,56.5,34.8,18,15.8,30.8,57.1,54.8,0.357,40.5
"96","Devers, Rafael","mid (v)",45,78,68.4,44.1,24.8,24.2,30.8,40,57.8,0.756,37.8
"97","Diaz, Yainer","high",47,80,79.2,48,21.1,19.3,26.3,51.1,61.7,0.638,31.9
"98","Diaz, Yainer","low",90,70.6,59,31.7,12.4,13.6,8.3,61.1,53.3,0.411,33.3
"99","Diaz, Yainer","mid (v)",118,78.1,63.6,37,7.1,6.6,14.3,45.8,64.4,0.72,42.4
"100","Donovan, Brendan","mid (v)",68,69.8,80,27.9,9,9.3,0,41.2,48.5,0.426,36.8
"101","Doyle, Brenton","high",46,76.5,63,41.8,27.5,25,37.9,21.7,39.1,0.674,39.1
"102","Doyle, Brenton","low",78,64.5,51.5,32.3,21,15.2,42.9,55.1,37.2,0.526,25.6
"103","Doyle, Brenton","mid (v)",116,74.6,65,37.3,9.1,8.2,15.4,39.7,53.4,0.759,37.9
"104","Drury, Brandon","low",53,57.1,53.2,40.7,10.2,8.4,16,69.8,34,0.264,20.8
"105","Drury, Brandon","mid (v)",70,71.5,62.5,45.7,13.9,14.6,6.7,45.7,42.9,0.4,28.6
"106","Dubón, Mauricio","high",47,81.3,81.8,34.9,22,20.7,25.9,29.8,27.7,0.489,31.9
"107","Dubón, Mauricio","low",57,67.6,51.7,35.7,6.1,6,6.7,61.4,35.1,0.246,19.3
"108","Dubón, Mauricio","mid (v)",76,83.6,66.7,44.5,11.6,11.5,12.5,40.8,35.5,0.474,43.4
"109","Duran, Ezequiel","mid (v)",43,79.7,69.2,44.9,10.2,10.1,11.1,48.8,37.2,0.419,20.9
"110","Duran, Jarren","low",57,57.3,57.1,33.7,8.2,6.4,15,75.4,52.6,0.491,24.6
"111","Duran, Jarren","mid (v)",61,61.8,43.5,35.6,11.9,11.1,20,45.9,47.5,0.525,42.6
"112","Duvall, Adam","mid (v)",46,69.7,50,45.3,11.3,11.3,11.1,34.8,37,0.304,30.4
"113","Díaz, Elias","low",59,77,75.8,19.6,25.2,24.4,28,69.5,37.3,0.356,23.7
"114","Díaz, Elias","mid (v)",61,75,77.3,43.4,9.3,8,17.6,41,41,0.639,41
"115","Díaz, Yandy","low",122,62.2,53.6,33.8,6.4,4.6,16.7,63.1,52.5,0.41,25.4
"116","Díaz, Yandy","mid (v)",127,70.1,47.6,43.8,9.6,8.7,20,47.2,57.5,0.535,31.5
"117","Espinal, Santiago","high",50,74.7,55.3,46.3,11.6,10,19,30,24,0.44,38
"118","Espinal, Santiago","mid (v)",85,75,44.4,42.5,8.6,8.4,12.5,35.3,34.1,0.447,44.7
"119","Estrada, Thairo","low",55,62,66.7,31.5,18.9,16,25,54.5,36.4,0.527,27.3
"120","Estrada, Thairo","mid (v)",83,70.3,57.7,35.8,3.6,4.1,0,42.2,37.3,0.53,38.6
"121","Fermin, Freddy","high",43,74,64.6,49.1,13.2,9.6,22.6,34.9,32.6,0.605,37.2
"122","Fermin, Freddy","low",47,66.9,72.4,42.9,12.4,13.1,9.5,61.7,42.6,0.255,25.5
"123","Fermin, Freddy","mid (v)",78,77.2,60,34.8,6.1,5.7,11.1,51.3,42.3,0.538,28.2
"124","Fitzgerald, Tyler","mid (v)",53,72.5,66.7,39.5,13.7,13.6,14.3,41.5,30.2,0.736,35.8
"125","Fortes, Nick","high",45,75.7,66.7,32.1,9.8,10.9,5.6,35.6,22.2,0.378,26.7
"126","Fortes, Nick","mid (v)",68,72.2,66.7,37.7,5.4,4.3,14.3,45.6,26.5,0.412,29.4
"127","France, Ty","high",56,73.3,57.4,50,21.7,17.8,40,32.1,41.1,0.571,32.1
"128","France, Ty","low",66,71.1,63.3,37.9,15,8.8,31.6,48.5,45.5,0.485,39.4
"129","France, Ty","mid (v)",126,79.6,65.9,39.8,10.6,10.1,14.8,46,40.5,0.468,31
"130","Freeman, Freddie","low",53,69.2,57.1,32.7,14.9,14.8,15,34,52.8,0.679,49.1
"131","Freeman, Freddie","mid (v)",51,81.1,69.6,48.6,15.5,15.1,18.8,37.3,51,0.569,47.1
