"","player_name","pitch_name","Pitches","BIP","Swing%","Strike%","Zone%","Chase%","CS%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%"
"1","Abbott, Andrew","Overall",1576,241,45.4,60.9,38.5,32.2,16.2,41.3,24.4,15.3,36.2,29.9,45.6
"2","Abreu, Albert","Overall",476,78,41.6,57.8,42,21,17.4,36.4,24.2,19.3,36.2,42.3,44.9
"3","Abreu, Bryan","Overall",709,83,44.1,60.6,39.8,28.8,17.2,35.1,38.3,24.2,60.2,47,30.1
"4","Adam, Jason","Overall",428,57,44.6,63.8,41.6,31.6,20.1,34.6,35.6,32.1,40.5,43.9,36.8
"5","Adon, Joan","Overall",481,92,47.6,62.2,40.3,33.1,15.4,36.2,23.1,14.2,35.8,39.1,50
"6","Alcantara, Sandy","Overall",1420,276,51.9,64.7,40.6,35.8,14.2,36.8,25.3,18.5,35.1,48.9,42
"7","Alexander, Scott","Overall",394,101,51.8,66.8,42.1,36,15,33.8,16.7,6.6,31.7,59.4,36.6
"8","Alexander, Tyler","Overall",477,86,48.6,68.3,45.7,33.6,21,44.8,18.1,13.1,26.4,31.4,40.7
"9","Allen, Logan","Overall",1764,310,47.7,63.7,38.3,34.3,16.6,39.1,24,12.6,38.2,44.8,40.3
"10","Alvarado, José","Overall",657,71,49.8,62.1,39.4,34.9,13.7,40.1,38.2,26.1,54.7,52.1,57.7
"11","Alzolay, Adbert","Overall",402,66,53,68.4,47,33.8,16.2,45.1,23.9,16.3,38.9,42.4,47
"12","Anderson, Chase","Overall",677,102,45.3,58.2,35.2,31,13.6,44.3,22.5,20.5,25,32.4,32.4
"13","Anderson, Tyler","Overall",1886,347,50.8,63.1,38.9,34.7,13.5,35,28.3,20.9,38.5,28,30.5
"14","Armstrong, Shawn","Overall",400,71,55.2,69,44.5,40.5,15.5,45.7,21.7,16.8,28.9,28.2,39.4
"15","Ashcraft, Graham","Overall",1152,213,47.5,63.6,40.8,33,17.1,38.9,21.5,11.1,36.4,47.4,31.5
"16","Assad, Javier","Overall",836,144,42.7,59.4,40.3,27.1,17.9,40.3,18.8,12.6,28.9,43.8,45.1
"17","Avila, Pedro","Overall",400,62,42.8,57.5,37.5,28.8,15,40.9,21.6,15.2,30.6,61.3,35.5
"18","Banks, Tanner","Overall",646,123,46,61.1,44.3,26.4,16.4,36.4,22.2,16.3,34.7,38.2,40.7
"19","Barlow, Scott","Overall",593,91,43.7,62.2,34.9,36,19.1,38.6,26.2,14.9,36,40.7,30.8
"20","Barria, Jaime","Overall",592,99,43.1,59.3,39,25.5,16.9,36.9,24.3,16.6,38,34.3,36.4
"21","Bassitt, Chris","Overall",1582,265,46.6,63.8,43.3,29.9,18,41.2,22.8,15.7,35.1,33.6,38.1
"22","Baumann, Mike","Overall",399,58,47.1,63.2,43.1,32.6,17.3,42.6,26.6,15.8,43.2,37.9,41.4
"23","Beck, Tristan","Overall",481,100,49.7,63.4,44.5,28.1,14.3,36.8,21.3,15.9,33.3,37,40
"24","Bednar, David","Overall",550,82,52.5,65.1,41.1,36.4,13.6,43.6,28,22.8,35.6,40.2,34.1
"25","Beeks, Jalen","Overall",476,90,47.9,61.8,42.2,32.4,15.5,31.1,29.4,20.9,42.7,50,32.2
"26","Bello, Brayan","Overall",1235,255,48.8,61.2,39.4,32,13.4,36.2,21.4,14.6,31.8,52.9,37.6
