"","player_name","pitch_name","Pitches","BIP","Swing%","Strike%","Zone%","Chase%","CS%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%"
"1","Abbott, Andrew","Overall",1897,294,46.7,61.7,39.2,33.6,16,40.6,25.5,16.8,36.7,29.9,42.5
"2","Abbott, Cory","Overall",703,120,47.9,63.9,41.7,33.4,16.9,38,26.1,15,42.3,39.2,43.3
"3","Abreu, Albert","Overall",1044,165,41.9,59.3,40.2,27.1,18.5,36.2,26,19,37.3,46.1,41.8
"4","Abreu, Bryan","Overall",1342,170,45.6,61.7,40.2,32,17.1,32,40.2,24.8,61.5,39.4,34.1
"5","Adam, Jason","Overall",906,124,45.9,62.6,40.5,32.5,17.7,35.8,34.4,28.2,42.9,41.9,39.5
"6","Adon, Joan","Overall",924,165,47.6,61.7,39.3,33.5,14.9,40.5,21.8,13.1,33.5,38.2,48.5
"7","Alcantara, Sandy","Overall",2721,558,54.1,67.6,42.7,39.4,14.7,36.5,25.2,17.6,36,51.8,40.5
"8","Alexander, Scott","Overall",694,165,52.6,67.3,44.7,35.4,15.6,34.2,19.6,9.1,37.5,61.8,33.9
"9","Alexander, Tyler","Overall",679,129,49.2,69.1,45.8,34.2,21.1,42.8,18.3,13,27,33.3,40.3
"10","Allen, Logan","Overall",2134,368,47.7,63.2,39.3,33.4,16.2,39.7,24,13.8,37.7,42.7,39.1
"11","Almonte, Yency","Overall",800,131,42.9,59.9,37.9,30.8,17.8,31.2,30.2,18.8,44.4,42.7,31.3
"12","Alvarado, José","Overall",855,114,50.2,64.2,42.6,36,15.3,40.3,32.9,22.6,47.5,52.6,47.4
"13","Alzolay, Adbert","Overall",962,168,51.4,66.3,43.2,34.2,15.9,37.9,28.1,17.3,46,43.5,36.9
"14","Anderson, Chase","Overall",1447,268,46.2,59.8,37.9,30.8,14.4,38,21.6,17.6,27.1,36.2,31.7
"15","Anderson, Grant","Overall",598,109,44.5,62.7,42.1,30.6,19.4,36.5,21.4,13.8,33,45.9,34.9
"16","Anderson, Tyler","Overall",2431,439,49.7,62.5,39,33.6,13.9,35.4,27.8,20.4,38.4,31,32.3
"17","Armstrong, Shawn","Overall",818,141,53.9,67.1,42.5,40,14.8,41.3,26.3,21.7,32.4,38.3,33.3
"18","Ashcraft, Graham","Overall",2324,451,48.1,63.7,41.6,32.4,16.6,37.2,22.1,11.5,38.6,47.9,38.8
"19","Assad, Javier","Overall",1710,311,42.9,59.3,39.5,28,17.7,36.6,20.7,13.7,31.4,47.3,41.2
"20","Avila, Pedro","Overall",895,136,45.7,60,38.5,31.3,15.2,37.2,28.9,17.3,44.8,60.3,41.9
"21","Baker, Bryan","Overall",804,111,47.1,59.6,38.8,NA,14.2,46.7,23.7,19.7,30,35.1,36.9
"22","Banks, Tanner","Overall",1007,184,46.3,61.7,44,27.8,16.9,35.8,24.6,18.7,36.3,37,37
"23","Bard, Daniel","Overall",933,128,40,57.9,40.3,22.4,18.9,43.4,21.7,15.3,34.4,36.7,31.2
"24","Barlow, Scott","Overall",1197,181,43.8,62.7,36.3,35.4,19.5,34.5,30.8,16.8,44.1,44.2,29.8
"25","Barria, Jaime","Overall",1350,268,48.5,63,39.8,31.2,15.2,36,22.9,15.2,35,36.2,34
"26","Bassitt, Chris","Overall",3139,569,47.3,65.1,44.2,31.2,18.6,39.7,21.9,14.8,34.1,42.9,35.3
"27","Battenfield, Peyton","Overall",551,107,49.9,64.4,38.1,32,14.9,36,24.7,16.9,36.7,42.1,50.5
"28","Baumann, Mike","Overall",1071,177,48.3,61.5,41.4,31.8,14.6,40.8,25,15.8,39.5,42.9,45.8
"29","Beck, Tristan","Overall",1298,263,49.2,64.6,42.3,33.6,16.3,35.2,23.6,15,36.9,41.8,35.7
"30","Bednar, David","Overall",1105,173,54.1,65.8,39.5,38.6,12.9,38.3,32.8,25.3,42.6,42.2,40.5
"31","Beeks, Jalen","Overall",731,123,46.4,60.3,41.6,30.4,15.6,32.7,31,21.5,46.2,45.5,35
"32","Bello, Brayan","Overall",2618,485,48.4,62.2,39.1,32.8,14.8,37.2,24.4,14.7,38.2,56.3,44.3
"33","Bernardino, Brennan","Overall",865,134,40.7,61.4,43.2,NA,21.5,37.2,24.7,17.7,38.3,49.3,32.8
