"","player_name","pitch_name","Pitches","BIP","Swing%","Strike%","Zone%","Chase%","CS%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%"
"1","Abbott, Andrew","Overall",321,53,53,66,42.7,40.8,15.3,37.6,29.8,22.9,38.7,30.2,28.3
"2","Abbott, Cory","Overall",411,75,47.4,65.2,42.6,33.5,18.7,34.9,26.2,13.8,44.3,37.3,41.3
"3","Abreu, Albert","Overall",568,87,42.1,60.6,38.7,31.9,19.4,36,27.5,18.6,37.8,49.4,39.1
"4","Abreu, Bryan","Overall",633,87,47.2,62.9,40.6,35.6,16.9,28.8,42.1,25.5,62.7,32.2,37.9
"5","Adam, Jason","Overall",478,67,47.1,61.5,39.5,33.2,15.5,36.9,33.3,24.8,44.8,40.3,41.8
"6","Adon, Joan","Overall",443,73,47.6,61.2,38.1,33.9,14.4,45,20.4,11.9,31.2,37,46.6
"7","Alcantara, Sandy","Overall",1301,282,56.4,70.7,45,43.6,15.2,36.2,25.2,16.6,36.9,54.6,39
"8","Alexander, Scott","Overall",300,64,53.7,68,48,34.6,16.3,34.8,23.3,11.9,46.3,65.6,29.7
"9","Allen, Logan","Overall",370,58,47.6,61.1,44.3,28.2,14.3,42.6,23.9,18.6,34.5,31,32.8
"10","Almonte, Yency","Overall",491,83,42.2,62.5,39.7,33.4,21,25.1,34.6,22,48.5,47,27.7
"11","Alzolay, Adbert","Overall",560,102,50.2,64.8,40.5,34.5,15.7,32.4,31.3,18.1,50.4,44.1,30.4
"12","Anderson, Chase","Overall",770,166,46.9,61.3,40.3,30.7,15.2,32.7,20.8,15.5,29.1,38.6,31.3
"13","Anderson, Grant","Overall",409,76,45.5,64.8,44.3,33.3,21,38.7,19.4,11.8,30.3,59.2,32.9
"14","Anderson, Nick","Overall",339,56,44,63.7,44.5,29.3,20.9,38.3,24.2,17,36.4,41.1,51.8
"15","Anderson, Tyler","Overall",545,92,45.9,60.4,39.3,29.6,15.4,36.8,26,18.4,37.8,42.4,39.1
"16","Armstrong, Shawn","Overall",418,70,52.6,65.3,40.7,39.5,14.1,36.8,30.9,27,35.7,48.6,27.1
"17","Ashcraft, Graham","Overall",1172,238,48.7,63.7,42.3,31.8,16.1,35.6,22.7,11.8,40.9,48.3,45.4
"18","Assad, Javier","Overall",874,167,43,59.2,38.7,28.9,17.5,33,22.5,14.9,33.5,50.3,37.7
"19","Avila, Pedro","Overall",495,74,48.1,62,39.4,33.3,15.4,34.5,34,18.8,55,59.5,47.3
"20","Baker, Bryan","Overall",524,81,48.7,61.3,39.1,32.3,14.5,46.7,21.2,15.8,29.1,35.8,37
"21","Banks, Tanner","Overall",361,61,46.8,62.6,43.5,30.4,17.7,34.9,28.8,23.1,38.7,34.4,29.5
"22","Bard, Daniel","Overall",569,88,42.5,61.2,43.8,23.8,19.2,42.1,21.1,16.3,31.6,40.9,33
"23","Barlow, Scott","Overall",604,90,43.9,63.2,37.6,34.7,20,30.6,35.3,18.5,52.7,47.8,28.9
"24","Barria, Jaime","Overall",758,169,52.8,66,40.4,35.8,13.9,35.5,22,14.3,33.3,37.3,32.5
"25","Bassitt, Chris","Overall",1557,304,48,66.5,45.2,32.6,19.3,38.2,21,13.9,33.1,51,32.9
"26","Battenfield, Peyton","Overall",307,57,51.1,64.5,40.4,32.8,13.4,36.3,26.8,18.6,40,40.4,54.4
"27","Baumann, Mike","Overall",672,119,49,60.6,40.3,31.4,12.9,39.8,24,15.8,37.3,45.4,47.9
"28","Bautista, Félix","Overall",497,61,51.7,64.6,38.6,39.7,14.7,33.5,42.4,32.4,53.7,37.7,29.5
"29","Beck, Tristan","Overall",817,163,49,65.2,41,36.7,17.4,34.2,25,14.3,38.4,44.8,33.1
"30","Bednar, David","Overall",555,91,55.7,66.5,38,40.7,12.3,33.3,37.2,27.8,48.6,44,46.2
"31","Bello, Brayan","Overall",1383,230,48,63.1,38.8,33.5,16.1,38.1,27.1,14.7,43.7,60,51.7
"32","Bernardino, Brennan","Overall",323,54,43.7,66.9,47.4,NA,23.5,36.9,24.8,22.6,29.2,66.7,22.2
"33","Berríos, José","Overall",1405,264,48,66.5,40.6,37.5,19.1,36.9,24,13.5,36.1,46.2,37.5
"34","Bibee, Tanner","Overall",1242,212,47.5,62.8,39.9,33.5,16.5,36.1,27.6,20.2,37.6,36.8,33.5
"35","Bickford, Phil","Overall",752,103,46,60.5,37.5,30.4,15.4,39,30.9,20.2,46.2,35,47.6
"36","Bido, Osvaldo","Overall",471,86,44.8,63.9,42.3,30.5,20.8,37.9,21.3,14.8,31.3,41.9,41.9
"37","Bieber, Shane","Overall",967,200,48.9,65.6,41.3,34.2,17.7,29,27.9,12.5,50,44,45
"38","Bielak, Brandon","Overall",754,135,46.4,59.7,38.1,32.8,14.2,38,23.4,13.2,36.6,54.8,49.6
"39","Bird, Jake","Overall",788,159,46.3,64,43.8,30.2,18.5,34.8,21.6,13,36.6,49.7,42.1
"40","Blackburn, Paul","Overall",992,170,44.1,60.3,31.1,34.3,17,37.5,23.3,11.3,33.8,42.9,35.9
"41","Blanco, Ronel","Overall",458,78,52.8,63.5,36.5,38.5,11.1,30.2,37.6,21.5,56.2,37.2,37.2
"42","Bradish, Kyle","Overall",1445,257,47.6,65,40.8,34.3,18.3,34.6,27.6,12.2,48.3,46.3,40.1
"43","Bradley, Taj","Overall",903,156,53.9,66.1,43.7,36.8,13.3,45.8,21.4,14.3,32.6,35.9,53.2
"44","Brash, Matt","Overall",691,79,44.3,60.9,34,37.5,18.5,27.5,45.9,26.5,61.4,46.8,32.9
"45","Brasier, Ryan","Overall",533,91,50.7,64,39.2,37,13.9,35.6,30,18,45,48.4,39.6
"46","Brazoban, Huascar","Overall",692,91,46.4,62,33.2,38.5,16,38.9,32.3,24.3,38.8,53.8,25.3
"47","Brebbia, John","Overall",451,69,48.3,63.2,40.1,31.5,15.7,41.7,26.6,17.3,41.2,34.8,42
"48","Brieske, Beau","Overall",371,61,50.7,63.3,34.2,NA,14.6,43.6,23.9,14.1,34,45.9,36.1
"49","Brigham, Jeff","Overall",361,57,44.9,58.4,36.8,29.4,15,34,30.9,24.2,40.3,40.4,40.4
"50","Brito, Jhony","Overall",767,138,48.8,66.5,39.9,36.9,18.6,42.8,20,13.2,28.2,47.1,37
"51","Brogdon, Connor","Overall",332,51,49.4,63.3,36.4,37.4,14.8,37.8,29.9,24.7,35.4,41.2,37.3
"52","Brown, Hunter","Overall",1466,238,46,62.8,41.7,32,17.4,42.1,22.5,13,36.5,54.2,45
"53","Bummer, Aaron","Overall",385,52,37.4,58.7,40.3,26.5,22.6,28.5,35.2,20.2,55.7,53.8,32.7
"54","Burnes, Corbin","Overall",1581,283,48.6,63.3,38.6,33.6,15.9,35.8,27.3,16.9,41.4,36,38.5
"55","Butto, José","Overall",355,59,50.1,60.6,40,30.5,11.3,37.1,29.8,21.2,44.6,39,40.7
"56","Cabrera, Edward","Overall",864,113,42.7,57.1,32.1,33.7,15.6,39,30.4,15.8,42.9,52.2,42.5
"57","Cabrera, Génesis","Overall",418,71,48.3,64.4,42.6,35,17.2,33.2,31.7,22,45.2,43.7,46.5
"58","Canning, Griffin","Overall",1154,181,49.4,65.3,42.6,NA,17.3,39.1,28.8,16.1,52.1,41.4,48.1
"59","Cano, Yennier","Overall",644,123,50.2,67.7,46.9,36.5,18.6,35.3,25.7,15.2,42.4,65.9,40.7
"60","Carrasco, Carlos","Overall",850,172,51.4,65.4,39.3,38,14.8,34.8,25.4,12.9,40.8,45.3,51.7
"61","Castillo, Luis","Overall",1445,246,52,66.2,39.9,37.9,15.2,36.4,30.5,20.3,43.5,48.4,40.7
"62","Castro, Miguel","Overall",658,126,46,66.7,40.4,37.2,21.3,29.7,28.1,13.4,43.8,46,31
"63","Cease, Dylan","Overall",1681,213,45.4,60.4,34.7,31.8,15.7,36.8,35,19.3,53.6,40.8,47.9
"64","Chafin, Andrew","Overall",348,52,39.9,60.6,33.6,30.7,21,36,25.9,10.3,40.8,51.9,30.8
"65","Chargois, JT","Overall",441,78,38.8,60.8,42.9,23.8,22.2,33.9,20.5,9.9,40,59,35.9
"66","Chirinos, Yonny","Overall",677,136,48.4,62.2,43.1,30.4,14.5,36.9,21.3,14.7,33.3,44.1,43.4
"67","Cisnero, José","Overall",570,115,47.2,63.7,40.7,34.3,17.4,35.7,21.2,15.7,28.4,42.6,43.5
"68","Civale, Aaron","Overall",949,179,47.8,64.8,36.4,35.8,17.4,35.9,24.7,15.1,35.2,39.1,32.4
"69","Clarke, Taylor","Overall",515,89,50.5,63.7,36.5,38.8,14.4,33.8,31.8,17.9,46.5,31.5,39.3
"70","Clase, Emmanuel","Overall",510,123,59,72,49.6,42,13.5,31.2,27.6,20.2,40.7,52.8,42.3
"71","Clevinger, Mike","Overall",1073,197,49.5,65.3,42.4,34,17.1,37.5,25.4,16.2,39.5,37.1,37.6
"72","Cobb, Alex","Overall",1206,213,47.2,65.5,38.4,38.2,19.6,37.4,25,16.1,33.8,59.6,42.7
"73","Cole, Gerrit","Overall",1716,294,51.6,65.6,40.5,35.9,15.2,40.5,26.3,17,39.5,41.8,38.8
"74","Contreras, Roansy","Overall",632,103,45.4,63,35,34.1,18.4,32.4,31.7,17,47.1,41.7,42.7
"75","Corbin, Patrick","Overall",523,104,46.3,62.9,43.2,35,17.2,31.8,23.5,14.4,35.6,53.8,42.3
"76","Cordero, Jimmy","Overall",316,52,42.1,60.8,38.9,30.1,19.3,33.8,23.9,10.5,41.4,65.4,28.8
"77","Cosgrove, Tom","Overall",312,52,46.5,64.4,45.5,31.8,18.6,30.3,32.4,26.4,42.6,42.3,23.1
"78","Coulombe, Danny","Overall",364,63,42.9,59.1,36.8,30.4,17.6,28.8,29.3,23,37.1,54,33.3
"79","Covey, Dylan","Overall",406,69,43.8,60.1,34,33.2,16.7,43.8,16.9,6.7,27,55.1,40.6
"80","Crawford, Kutter","Overall",1021,179,54.9,67.2,40.4,40.9,13.7,39.8,28.3,18.2,41,39.7,36.9
"81","Criswell, Cooper","Overall",335,64,47.2,67.2,45.1,34.2,20.6,38.6,20.9,14.7,30.2,43.8,31.2
"82","Cruz, Fernando","Overall",567,85,50.6,63.5,38.4,36.7,13.8,31,39.4,23.9,58.6,27.1,42.4
"83","Cuas, Jose","Overall",680,121,45.6,62.2,40.4,32.1,17.1,36.1,24.5,16.1,36.2,47.9,42.1
"84","Cueto, Johnny","Overall",389,74,52.7,64.8,37.5,39.5,12.6,45.4,18,13.8,22.9,40.5,32.4
"85","Curry, Xzavion","Overall",777,173,54.2,66.8,45.8,35.6,13.9,37.1,21.9,18.5,28,26,46.2
"86","Darvish, Yu","Overall",974,179,48,64.5,43.5,31.3,17.4,35.9,25.8,19.2,37.2,44.7,39.7
"87","Davies, Zach","Overall",695,116,41.2,58.8,37.1,27.5,18.3,34.3,25.2,12.7,42.5,44.8,47.4
"88","De Los Santos, Enyel","Overall",550,85,51.3,65.6,40,38.2,15.1,33.7,35.5,17.9,57.1,47.1,36.5
"89","DeSclafani, Anthony","Overall",740,144,46.9,63.2,37.8,33,16.9,35.4,22.6,11.2,37.5,44.4,41.7
"90","Detmers, Reid","Overall",499,96,46.9,62.1,43.5,29.8,15.8,33.8,25.2,14,45.2,49,38.5
"91","Devenski, Chris","Overall",404,69,47.8,62.9,38.1,33.2,16.1,31.6,32,17.1,51.8,42,47.8
"92","Diekman, Jake","Overall",413,61,34.9,58.6,43.6,24.5,24,40.3,17.2,13.6,22.8,63.9,24.6
"93","Domínguez, Seranthony","Overall",641,99,50.4,60.1,39.3,31.9,10.8,35.3,33.1,27.1,42.7,41.4,31.3
"94","Doval, Camilo","Overall",509,80,46,62.5,37.9,32.3,17.3,29.5,35.9,25,50,61.3,45
"95","Dunning, Dane","Overall",1513,291,46.3,64.8,40.3,32.7,19,34.7,23.5,9.9,42.2,55.7,42.6
"96","Duran, Jhoan","Overall",522,87,51.3,64.9,40,36.4,14.9,37.7,29.5,12.3,52.6,70.1,43.7
"97","Díaz, Alexis","Overall",564,81,48.9,60.1,38.1,33.5,12.4,34.4,35.5,27.7,46.2,43.2,38.3
"98","Eflin, Zach","Overall",1351,247,48.1,68.5,42.6,37.5,21.2,34.8,26.8,18.8,36.8,53.8,36.8
"99","Elder, Bryce","Overall",1399,250,47.9,63.7,36.7,36.1,16.7,34.6,27.4,13.7,42.5,57.2,44.4
"100","Englert, Mason","Overall",539,120,51.2,64.7,44.3,32.7,14.7,33.7,22.5,11.2,42.9,40,42.5
"101","Eovaldi, Nathan","Overall",1598,253,47.9,62.1,37,NA,15.5,39.2,27.5,16,41.5,51.8,39.1
"102","Erceg, Lucas","Overall",641,94,40.6,57.4,38.8,26,18.3,36.5,27.3,19,40.2,47.9,35.1
"103","Estévez, Carlos","Overall",587,86,51.4,66.3,43.6,36.3,16,42.1,29.1,20.9,41.7,31.4,43
"104","Faedo, Alex","Overall",530,95,48.3,64.9,42.5,35.1,17.4,34.8,28.1,17.4,43,35.8,33.7
"105","Fairbanks, Pete","Overall",388,51,50.5,67.5,43.3,37.7,18.3,44.9,29.1,23,37.3,45.1,37.3
