"","player_name","pitch_name","Pitches","BIP","Swing%","Strike%","Zone%","Chase%","CS%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%"
"1","Abbott, Andrew","4-Seam Fastball",789,115,46.4,63.6,43.1,31.8,18,48.6,19.1,9.9,33.6,31.3,55.7
"2","Abbott, Andrew","Changeup",303,47,43.9,52.1,23.8,35.1,8.9,24.8,39.1,30.8,44.4,40.4,31.9
"3","Abbott, Andrew","Curveball",301,48,40.2,59.8,39.2,27.9,20.3,33.1,27.3,18.6,39.2,22.9,47.9
"4","Abbott, Andrew","Sweeper",182,31,52.7,65.4,42.3,35.2,13.7,46.9,20.8,18.6,24.3,19.4,25.8
"5","Abbott, Cory","Knuckle Curve",147,24,49.7,61.2,40.1,31.8,12.2,30.1,37,22.2,60.7,54.2,50
"6","Abreu, Albert","Changeup",126,30,44.4,52.4,31,26.4,9.5,21.4,25,24.2,26.1,43.3,33.3
"7","Abreu, Albert","Sinker",234,30,37.6,59.4,47.9,14.8,23.5,37.5,28.4,21.4,55.6,40,66.7
"8","Abreu, Bryan","4-Seam Fastball",276,31,39.5,54,40.2,19.4,15.6,33.9,37.6,35.1,43.8,32.3,29
"9","Abreu, Bryan","Slider",432,52,47.2,65,39.6,34.9,18.3,35.8,38.7,16.8,65.9,55.8,30.8
"10","Adam, Jason","4-Seam Fastball",146,21,52.1,68.5,45.2,33.8,16.4,42.1,30.3,34.7,22.2,23.8,47.6
"11","Adam, Jason","Changeup",191,31,46.6,60.2,35.6,34.1,15.7,28.1,37.1,25.5,50,58.1,29
"12","Adon, Joan","4-Seam Fastball",203,37,46.3,62.1,44.3,29.2,16.3,39.4,21.3,13.1,36.4,29.7,54.1
"13","Adon, Joan","Curveball",121,22,51.2,66.1,44.6,32.8,15.7,37.1,25.8,17.5,40.9,36.4,54.5
"14","Alcantara, Sandy","4-Seam Fastball",394,66,60.7,67.3,49,34.3,9.1,45.2,27.2,27.1,27.5,30.3,43.9
"15","Alcantara, Sandy","Changeup",500,108,55,62,29.2,44.4,8.2,32,27.8,16.7,36.3,55.6,38.9
"16","Alcantara, Sandy","Sinker",287,70,47,69.7,50.9,26.2,23,35.6,11.8,6.1,27,58.6,41.4
"17","Alcantara, Sandy","Slider",198,25,37.9,62.6,40.9,27.4,26.3,32,34.7,20.9,53.1,40,52
"18","Alexander, Scott","Sinker",309,89,53.4,70.2,48.2,35.6,16.8,32.7,13.3,6.5,26.3,62.9,36
"19","Alexander, Tyler","Changeup",113,28,46.9,53.1,28.3,35.8,8.8,26.4,20.8,16.7,24.1,39.3,35.7
"20","Alexander, Tyler","Cutter",205,36,50.2,75.1,53.7,31.6,25.9,45.6,19.4,17.8,23.3,19.4,33.3
"21","Allen, Logan","4-Seam Fastball",787,153,48.8,67.1,46.3,31.7,18.8,43.2,16.9,11.2,27.6,34.6,45.1
"22","Allen, Logan","Changeup",437,61,44.6,57.2,28.8,33.8,13.7,34.9,33.8,18.9,46.7,65.6,39.3
"23","Allen, Logan","Cutter",168,32,47.6,66.7,45.2,26.1,19.6,40,18.8,14.3,29.2,37.5,40.6
"24","Allen, Logan","Sweeper",316,58,51.9,64.6,29.7,45,13,34.8,29.9,7.8,44,51.7,27.6
"25","Alvarado, José","Cutter",291,31,53.6,58.4,27.5,43.6,5.8,34,46.2,21.9,63,58.1,58.1
"26","Alvarado, José","Sinker",366,40,46.7,65,48.9,25.1,19.9,45.6,31,28.2,38.3,47.5,57.5
"27","Alzolay, Adbert","4-Seam Fastball",126,24,57.9,75.4,57.9,30.2,17.5,45.2,21.9,21.1,25,25,54.2
"28","Alzolay, Adbert","Slider",159,22,56.6,70.4,42.8,44,15.1,41.1,34.4,20,52.5,54.5,45.5
"29","Anderson, Chase","4-Seam Fastball",201,27,42.3,58.2,37.8,26.4,16.9,47.1,21.2,17.3,27.3,18.5,55.6
"30","Anderson, Chase","Changeup",241,43,51.9,60.6,35.3,35.3,9.1,40,25.6,22.9,29.1,34.9,16.3
"31","Anderson, Chase","Cutter",146,21,52.1,60.3,32.9,41.8,9.6,51.3,21.1,22.9,19.5,38.1,14.3
"32","Anderson, Tyler","4-Seam Fastball",766,149,49.9,64.4,46.5,29.3,16.7,40.3,19.9,17.2,25.8,18.1,36.9
"33","Anderson, Tyler","Changeup",773,127,49,60.7,29.4,38.1,12,25.9,40.1,29.8,48.6,37.8,22.8
"34","Anderson, Tyler","Cutter",334,69,57.5,65.6,43.1,36.8,9,41.7,22.4,17.2,31.4,30.4,29
"35","Armstrong, Shawn","Cutter",139,32,61.2,71.9,43.2,46.8,12.2,43.5,18.8,16.7,21.6,28.1,25
"36","Armstrong, Shawn","Sinker",156,26,52.6,71.2,50.6,37.7,20.5,42.7,24.4,15.1,41.4,38.5,61.5
"37","Ashcraft, Graham","Cutter",677,138,49.2,65.6,45.6,31.8,17.3,40.2,17.7,12.4,27.4,53.6,29.7
"38","Ashcraft, Graham","Slider",391,61,47.1,63.4,35,37.8,17.6,35.9,30.4,9.1,50,32.8,32.8
"39","Assad, Javier","4-Seam Fastball",238,37,41.6,64.3,50.4,22.9,24.4,45.5,17.2,12.5,29.6,40.5,45.9
"40","Assad, Javier","Cutter",274,52,49.3,63.9,40.1,34.1,15.7,43.7,17.8,10.1,28.6,40.4,48.1
"41","Assad, Javier","Sinker",167,28,40.7,64.1,44.3,26.9,24.6,39.7,16.2,18.6,12,50,53.6
"42","Avila, Pedro","4-Seam Fastball",173,25,39.3,53.8,37,22.9,15,44.1,19.1,20.9,16,56,36
"43","Banks, Tanner","4-Seam Fastball",224,40,48.7,64.7,47.3,27.1,17.9,43.1,20.2,16.9,28.1,25,42.5
"44","Banks, Tanner","Changeup",164,37,39,51.8,32.3,27,13.4,23.4,18.8,8.8,30,56.8,43.2
"45","Banks, Tanner","Slider",185,35,48.6,64.3,48.6,27.4,16.8,34.4,26.7,17.2,50,40,31.4
"46","Barlow, Scott","4-Seam Fastball",151,24,41.7,57.6,39.7,28.6,16.6,46,15.6,13.2,19.2,25,58.3
"47","Barlow, Scott","Curveball",227,27,37.4,59.9,29.1,32.3,22.5,40,28.2,15.2,36.5,51.9,22.2
"48","Barlow, Scott","Slider",179,31,50.8,68.7,36.9,46.9,18.4,35.2,30.8,10.5,45.3,45.2,19.4
"49","Barria, Jaime","4-Seam Fastball",181,32,44.8,66.3,47.5,25.3,22.1,51.9,8.6,3.5,20.8,34.4,50
"50","Barria, Jaime","Changeup",179,32,44.1,49.7,25.7,31.6,6.7,25.3,34.2,27,40.5,28.1,15.6
"51","Barria, Jaime","Slider",231,35,41.1,61,42.4,19.5,20.3,33.7,29.5,21.7,50,40,42.9
"52","Bassitt, Chris","4-Seam Fastball",194,26,45.4,57.7,39.7,24.8,13.4,47.7,22.7,16.9,34.5,30.8,30.8
"53","Bassitt, Chris","Curveball",232,36,43.5,62.9,31.9,34.2,19.8,37.6,26.7,12.8,38.9,41.7,22.2
"54","Bassitt, Chris","Cutter",344,59,55.5,65.4,43,36.7,11.6,42.4,26.2,18.5,38.9,32.2,37.3
"55","Bassitt, Chris","Sinker",470,94,44.7,71.5,57.4,23.5,27.7,36.2,19,13.5,38.3,34,51.1
"56","Battenfield, Peyton","4-Seam Fastball",107,26,46.7,65.4,39.3,20,18.7,42,6,5.4,7.7,46.2,53.8
"57","Baumann, Mike","4-Seam Fastball",220,32,50,65.5,44.1,33.3,17.3,47.3,23.6,21.7,26.8,40.6,43.8
"58","Bautista, Félix","4-Seam Fastball",356,27,50,64.3,41,32.9,16.3,42.7,42.1,34.9,53.6,22.2,44.4
"59","Beck, Tristan","4-Seam Fastball",211,42,46.4,64.5,45.5,29.6,18.5,37.8,19.4,17.2,23.5,35.7,38.1
"60","Beck, Tristan","Slider",142,28,57,64.8,47.9,27,8.5,43.2,22.2,16.4,40,39.3,42.9
"61","Bednar, David","4-Seam Fastball",316,48,58.2,66.5,42.1,39.9,9.5,50,23.9,23.4,24.7,35.4,35.4
"62","Bednar, David","Split-Finger",105,20,53.3,66.7,43.8,35.6,14.3,32.1,32.1,25.7,42.9,55,35
"63","Beeks, Jalen","4-Seam Fastball",193,39,49.7,59.6,44.6,30.8,13.5,31.2,28.1,25.4,33.3,48.7,28.2
"64","Beeks, Jalen","Changeup",249,46,45,62.2,41,32,17.7,31.2,27.7,16.9,42.6,50,39.1
"65","Bello, Brayan","4-Seam Fastball",362,71,51.1,60.2,44.5,27.9,10.8,45.9,15.7,11.6,25,36.6,43.7
"66","Bello, Brayan","Changeup",386,81,53.4,61.7,31.3,41.9,8.8,25.7,34.5,31.6,36.9,55.6,17.3
"67","Bello, Brayan","Sinker",303,75,47.2,67.3,49.2,24.7,21.5,39.2,8.4,5.7,15.8,64,52
"68","Bello, Brayan","Slider",155,24,34.8,50.3,25.8,27,15.5,31.5,24.1,4.3,38.7,58.3,37.5
"69","Bernardino, Brennan","Curveball",230,20,35.7,53.9,31.7,26.8,18.3,36.6,39,17.5,59.5,30,15
"70","Bernardino, Brennan","Sinker",300,58,42.3,62.3,48.7,18.8,22,38.6,15.7,13.3,24.1,39.7,46.6
