"","player_name","pitch_name","Pitches","BIP","Swing%","Strike%","Zone%","Chase%","CS%","Foul%","Whiff%","IZ Whiff","OZ Whiff","GB%","HH%"
"1","Abbott, Andrew","4-Seam Fastball",160,28,55,70,47.5,45.2,17.5,43.2,22.7,22,23.7,42.9,32.1
"2","Abbott, Cory","4-Seam Fastball",205,45,47.8,64.4,43.9,29.6,18,34.7,18.4,17.2,20.6,28.9,46.7
"3","Abbott, Cory","Knuckle Curve",185,26,48.6,66.5,42.7,38.7,18.4,35.6,35.6,10.2,65.9,46.2,38.5
"4","Abreu, Albert","Sinker",333,58,42,65.8,45.6,32.6,24.9,44.3,14.2,13.4,15.3,51.7,39.7
"5","Abreu, Albert","Slider",204,25,43.6,53.4,29.4,31.9,10.3,23.6,48.3,25.6,69.6,40,36
"6","Abreu, Bryan","4-Seam Fastball",290,34,44.5,59.7,45.2,25.2,17.2,37.2,36.4,31.5,47.5,26.5,38.2
"7","Abreu, Bryan","Slider",343,53,49.6,65.6,36.7,43.3,16.6,22.4,46.5,18.4,69.1,35.8,37.7
"8","Adam, Jason","Changeup",128,21,47.7,68,44.5,35.2,20.3,37.7,27.9,25,32,47.6,47.6
"9","Adam, Jason","Sweeper",188,27,41,54.3,31.9,28.1,13.3,29.9,35.1,17.1,55.6,48.1,11.1
"10","Adams, Austin","Slider",209,31,49.3,65.1,43.1,37,16.7,42.7,27.2,27.1,27.3,35.5,29
"11","Adon, Joan","4-Seam Fastball",162,22,48.1,65.4,47.5,32.9,19.1,48.7,23.1,18,32.1,31.8,59.1
"12","Alcantara, Sandy","4-Seam Fastball",185,41,61.1,71.9,51.9,38.2,11.9,38.1,25.7,25.3,26.5,31.7,53.7
"13","Alcantara, Sandy","Changeup",244,34,63.5,67.2,26.6,55.3,4.9,44.5,33.5,23.2,39.4,50,47.1
"14","Alcantara, Sandy","Sinker",503,125,51.5,72.8,50.5,39,22.5,39,12.7,5.6,24.7,66.4,37.6
"15","Alcantara, Sandy","Slider",350,77,56.6,69.1,44.9,42,12.9,25.3,35.4,23.9,51.9,49.4,29.9
"16","Alexander, Scott","Sinker",217,52,55.8,69.6,55.3,32,16.1,38,16.3,9.8,35.5,67.3,32.7
"17","Allen, Logan","4-Seam Fastball",176,27,45.5,62.5,55.1,13.9,18.8,45,21.2,18.8,36.4,25.9,48.1
"18","Allen, Logan","Sweeper",154,22,51.9,62.3,35.1,40,10.4,42.5,30,22.5,37.5,27.3,13.6
"19","Almonte, Yency","Sinker",191,43,42.9,67.5,46.1,32,25.7,34.1,13.4,12.2,15.2,58.1,25.6
"20","Almonte, Yency","Sweeper",293,40,42,59.7,35.5,34.9,18.1,17.9,49.2,31,65.2,35,30
"21","Alvarado, José","Sinker",146,37,50.7,76,60.3,41.4,26,40.5,8.1,8,8.3,54.1,32.4
"22","Alzolay, Adbert","Sinker",136,34,50,67.6,43.4,33.8,17.6,41.2,8.8,7.1,11.5,52.9,32.4
"23","Alzolay, Adbert","Slider",274,45,52.6,66.8,40.9,38.3,15.7,24.3,44.4,23.2,72.6,35.6,28.9
"24","Anderson, Chase","4-Seam Fastball",251,56,44.2,62.2,44.2,27.1,18.3,35.1,14.4,6.8,28.9,41.1,39.3
"25","Anderson, Chase","Cutter",235,54,46.8,60.4,40.9,28.1,15.3,26.4,23.6,19.7,30.8,42.6,29.6
"26","Anderson, Chase","Sweeper",107,22,53.3,64.5,36.4,39.7,12.1,35.1,24.6,16.7,33.3,22.7,22.7
"27","Anderson, Grant","Sinker",148,30,41.9,70.3,54.1,32.4,29.7,38.7,11.3,12.5,9.1,76.7,40
"28","Anderson, Grant","Slider",241,44,47.3,62.7,39.4,34.2,17.4,38.6,21.9,9.4,38,50,29.5
"29","Anderson, Nick","4-Seam Fastball",172,29,50.6,70.3,50.6,32.9,21.5,47.1,19.5,16.9,25,48.3,82.8
"30","Anderson, Nick","Curveball",162,26,35.8,56.2,38.3,25,21,24.1,31,18.2,48,30.8,19.2
"31","Anderson, Tyler","4-Seam Fastball",141,21,34.8,57.4,39,22.1,24.1,42.9,14.3,16.7,10.5,23.8,38.1
"32","Anderson, Tyler","Cutter",211,41,52.1,62.1,36.5,36.6,10.4,27.3,34.5,18,55.1,51.2,31.7
"33","Anderson, Tyler","Sinker",127,23,41.7,57.5,41.7,21.6,17.3,45.3,11.3,10.8,12.5,56.5,52.2
